width_tiles,height_tiles,valley_size,supported_colony_counts_both_seeds,completed_colony_settings
64,64,64,,12
64,64,72,,12
64,64,80,,12
64,64,88,,12
64,64,96,,12
64,128,64,,12
64,128,72,,12
64,128,80,,12
64,128,88,,12
64,128,96,,12
64,256,64,,12
64,256,72,,12
64,256,80,,12
64,256,88,,12
64,256,96,,12
64,512,64,,12
64,512,72,,12
64,512,80,,12
64,512,88,,12
64,512,96,,12
128,64,64,,12
128,64,72,,12
128,64,80,,12
128,64,88,,12
128,64,96,,12
128,128,64,1 2,12
128,128,72,,12
128,128,80,,12
128,128,88,,12
128,128,96,,12
128,256,64,1 2 3 4,12
128,256,72,,12
128,256,80,,12
128,256,88,,12
128,256,96,,12
128,512,64,1 2 3 4 5 6,12
128,512,72,,12
128,512,80,,12
128,512,88,,12
128,512,96,,12
256,64,64,,12
256,64,72,,12
256,64,80,,12
256,64,88,,12
256,64,96,,12
256,128,64,1 2 3 4,12
256,128,72,,12
256,128,80,,12
256,128,88,,12
256,128,96,,12
256,256,64,1 2 3 4 5 6 7 8 9,12
256,256,72,1 2 3,12
256,256,80,1 2 3,12
256,256,88,1 2,12
256,256,96,1 2,12
256,512,64,1 2 3 4 5 6 7 8 9 10 11 12,12
256,512,72,1 2 3 4 5 6 7,12
256,512,80,1 2 3 4 5 6,12
256,512,88,1 2 3 4 5,12
256,512,96,1 2 3 4 5,12
512,64,64,,12
512,64,72,,12
512,64,80,,12
512,64,88,,12
512,64,96,,12
512,128,64,1 2 3 4 5 6 7 8,12
512,128,72,,12
512,128,80,,12
512,128,88,,12
512,128,96,,12
512,256,64,1 2 3 4 5 6 7 8 9 10 11 12,12
512,256,72,1 2 3 4 5 6 7,12
512,256,80,1 2 3 4 5 6,12
512,256,88,1 2 3 4 5,12
512,256,96,1 2 3 4 5,12
512,512,64,1 2 3 4 5 6 7 8 9 10 11 12,12
512,512,72,1 2 3 4 5 6 7 8 9 10 11 12,12
512,512,80,1 2 3 4 5 6 7 8 9 10 11 12,12
512,512,88,1 2 3 4 5 6 7 8 9 10,12
512,512,96,1 2 3 4 5 6 7 8 9 10,12
