Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,459.884,611.257,55,ok
fingerprint,2,514.912,478.352,55,ok
fingerprint,3,679.121,912.135,55,ok
old-town,1,652.074,587.499,58,ok
old-town,2,750.751,903.843,58,ok
old-town,3,744.174,896.356,58,ok
symmetric-arena,1,275.533,336.248,11,ok
symmetric-arena,2,237.469,235.527,11,ok
symmetric-arena,3,260.609,256.159,11,ok
swamp,1,57.906,78.043,65,ok
swamp,2,82.696,95.657,65,ok
swamp,3,110.806,97.143,65,ok
tidal-flats,1,561.958,570.615,63,ok
tidal-flats,2,482.937,608.749,63,ok
tidal-flats,3,554.800,556.525,64,ok
river,1,96.963,104.273,65,ok
river,2,70.582,77.949,65,ok
river,3,172.537,144.909,65,ok
isles,1,211.385,257.336,14,ok
isles,2,267.753,340.923,14,ok
isles,3,271.604,317.138,14,ok
ring-world,1,117.075,122.036,71,ok
ring-world,2,80.416,117.510,71,ok
ring-world,3,92.726,121.455,72,ok
amphitheatre,1,175.866,198.160,78,ok
amphitheatre,2,177.612,197.005,78,ok
amphitheatre,3,215.902,203.453,78,ok
shattered-coast,1,77.050,99.960,39,ok
shattered-coast,2,82.890,98.293,39,ok
shattered-coast,3,98.993,90.560,39,ok
crater-lakes,1,100.218,77.278,65,ok
crater-lakes,2,99.105,86.393,65,ok
crater-lakes,3,58.819,95.221,65,ok
fjord-continent,1,87.944,76.721,79,ok
fjord-continent,2,78.620,79.479,79,ok
fjord-continent,3,68.906,83.466,79,ok
spider-web,1,123.034,155.667,59,ok
spider-web,2,122.051,146.928,59,ok
spider-web,3,102.702,121.732,59,ok
concrete-islands,1,178.375,185.494,9,ok
concrete-islands,2,161.576,219.355,9,ok
concrete-islands,3,226.386,179.773,9,ok
watershed,1,277.002,210.179,76,ok
watershed,2,183.755,280.533,76,ok
watershed,3,172.324,167.840,76,ok
maze,1,43.017,52.732,33,ok
maze,2,45.454,57.160,33,ok
maze,3,28.006,27.943,33,ok
islands,1,46.658,71.601,64,ok
islands,2,73.055,92.468,64,ok
islands,3,98.026,69.052,64,ok
stone-highlands,1,226.047,119.335,256,ok
stone-highlands,2,144.100,181.520,244,ok
stone-highlands,3,163.900,132.244,254,ok
switchbacks,1,656.736,669.228,89,ok
switchbacks,2,577.971,620.329,89,ok
switchbacks,3,578.313,492.648,89,ok
city-states,1,383.231,328.159,62,ok
city-states,2,389.954,329.623,62,ok
city-states,3,265.888,330.149,62,ok
canals,1,134.225,124.871,86,ok
canals,2,135.448,163.385,86,ok
canals,3,206.458,121.110,88,ok
breachable-highlands,1,115.492,108.788,123,ok
breachable-highlands,2,104.041,186.659,123,ok
breachable-highlands,3,122.494,125.476,123,ok
rugged-archipelago,1,59.898,45.351,27,ok
rugged-archipelago,2,38.963,66.244,27,ok
rugged-archipelago,3,52.574,45.900,27,ok
contested-commons,1,136.421,163.497,40,ok
contested-commons,2,291.914,168.024,40,ok
contested-commons,3,266.519,240.352,40,ok
rain-shadow,1,247.748,176.516,57,ok
rain-shadow,2,155.836,181.481,57,ok
rain-shadow,3,158.721,134.817,57,ok
everglades,1,220.512,171.046,60,ok
everglades,2,172.643,185.398,60,ok
everglades,3,197.895,222.094,60,ok
polder,1,202.267,226.251,62,ok
polder,2,206.809,237.437,62,ok
polder,3,176.093,235.683,62,ok
carousel,1,717.976,655.207,81,ok
carousel,2,632.177,639.818,81,ok
carousel,3,638.335,618.946,81,ok
old-growth,1,232.540,221.742,61,ok
old-growth,2,242.496,269.678,61,ok
old-growth,3,242.337,243.937,61,ok
anthill,1,207.455,136.332,60,ok
anthill,2,121.602,206.605,60,ok
anthill,3,164.471,143.468,60,ok
coral,1,123.683,144.084,63,ok
coral,2,167.134,101.210,63,ok
coral,3,97.725,104.643,63,ok
uniform,1,0.857,1.124,4,ok
uniform,2,0.852,0.862,4,ok
uniform,3,0.846,2.332,4,ok
# telemetry: 96 cases, 96 generated, 0 semantic failures, off 21389.614 ms, on 22275.682 ms
