Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,250.448,271.067,55,ok
fingerprint,2,171.553,185.991,55,ok
fingerprint,3,166.085,176.611,55,ok
old-town,1,542.781,323.135,58,ok
old-town,2,173.472,175.823,58,ok
old-town,3,163.323,171.008,58,ok
symmetric-arena,1,65.579,67.854,11,ok
symmetric-arena,2,78.442,73.811,11,ok
symmetric-arena,3,74.066,91.198,11,ok
swamp,1,37.421,36.012,65,ok
swamp,2,35.026,48.328,65,ok
swamp,3,70.320,42.611,65,ok
tidal-flats,1,255.683,236.107,63,ok
tidal-flats,2,232.591,246.380,63,ok
tidal-flats,3,220.049,207.401,64,ok
river,1,49.379,41.508,65,ok
river,2,42.441,45.592,65,ok
river,3,82.723,82.597,65,ok
isles,1,153.818,137.981,14,ok
isles,2,143.596,153.862,14,ok
isles,3,186.183,128.927,14,ok
ring-world,1,81.392,79.201,71,ok
ring-world,2,73.062,69.832,71,ok
ring-world,3,77.424,74.712,72,ok
amphitheatre,1,142.659,123.571,78,ok
amphitheatre,2,130.259,170.067,78,ok
amphitheatre,3,117.769,103.053,78,ok
shattered-coast,1,64.806,58.574,39,ok
shattered-coast,2,48.346,48.115,39,ok
shattered-coast,3,47.358,56.653,39,ok
crater-lakes,1,55.100,54.858,65,ok
crater-lakes,2,49.650,59.262,65,ok
crater-lakes,3,62.891,45.459,65,ok
fjord-continent,1,42.482,40.739,79,ok
fjord-continent,2,48.532,50.308,79,ok
fjord-continent,3,45.347,41.937,79,ok
spider-web,1,63.130,58.375,59,ok
spider-web,2,67.126,60.118,59,ok
spider-web,3,57.948,60.849,59,ok
concrete-islands,1,129.916,143.710,9,ok
concrete-islands,2,126.505,156.697,9,ok
concrete-islands,3,123.096,117.459,9,ok
watershed,1,132.406,120.993,76,ok
watershed,2,114.547,116.599,76,ok
watershed,3,134.661,123.386,76,ok
maze,1,20.731,23.618,33,ok
maze,2,19.796,19.072,33,ok
maze,3,20.133,24.051,33,ok
islands,1,36.550,36.429,64,ok
islands,2,38.840,43.744,64,ok
islands,3,46.662,42.979,64,ok
stone-highlands,1,120.694,107.317,256,ok
stone-highlands,2,98.943,106.093,244,ok
stone-highlands,3,131.324,106.413,254,ok
switchbacks,1,398.895,397.798,89,ok
switchbacks,2,466.074,450.879,89,ok
switchbacks,3,512.192,470.364,89,ok
city-states,1,190.801,187.013,62,ok
city-states,2,182.387,201.924,62,ok
city-states,3,212.076,196.628,62,ok
canals,1,127.599,128.833,86,ok
canals,2,107.605,110.194,86,ok
canals,3,84.529,79.311,88,ok
breachable-highlands,1,78.878,98.694,123,ok
breachable-highlands,2,103.149,74.382,123,ok
breachable-highlands,3,89.812,87.165,123,ok
rugged-archipelago,1,44.052,38.027,27,ok
rugged-archipelago,2,56.855,42.290,27,ok
rugged-archipelago,3,50.917,45.278,27,ok
contested-commons,1,123.536,123.356,40,ok
contested-commons,2,134.286,123.663,40,ok
contested-commons,3,145.271,116.936,40,ok
rain-shadow,1,149.589,107.417,57,ok
rain-shadow,2,95.003,95.112,57,ok
rain-shadow,3,100.738,100.947,57,ok
everglades,1,193.292,134.682,60,ok
everglades,2,117.725,116.495,60,ok
everglades,3,105.540,116.334,60,ok
polder,1,133.899,133.908,62,ok
polder,2,196.353,131.188,62,ok
polder,3,125.003,119.948,62,ok
carousel,1,436.616,396.063,81,ok
carousel,2,556.694,422.139,81,ok
carousel,3,321.205,482.300,81,ok
old-growth,1,180.128,137.750,61,ok
old-growth,2,123.776,106.483,61,ok
old-growth,3,126.592,111.536,61,ok
anthill,1,80.130,82.043,60,ok
anthill,2,65.036,64.293,60,ok
anthill,3,66.130,80.686,60,ok
coral,1,64.062,62.599,63,ok
coral,2,69.277,54.662,63,ok
coral,3,49.851,49.534,63,ok
uniform,1,0.888,0.898,4,ok
uniform,2,0.979,0.852,4,ok
uniform,3,0.896,0.906,4,ok
# telemetry: 96 cases, 96 generated, 0 semantic failures, off 12233.381 ms, on 11569.556 ms
