study,control,value,seed,width,height,teams,ok,detail,tel:gauntlet.court.radial-width,tel:gauntlet.gate.width,tiles:stone,tel:gauntlet.home.tower-level,tiles:wheat,tiles:wood,tiles:algae,tiles:cherry,tel:gauntlet.partition.width,tel:gauntlet.home.towers,tel:gauntlet.home.farm-area,tel:gauntlet.court.wheat,tiles:orange,tiles:prune,sites4x4
baseline,,0,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,court-size,80,1,256,256,4,True,,30.0,7.0,4576,1.0,2870,200,375,20,2.0,2.0,5333.0,35.5,20,20,6287
ablation,court-size,90,1,256,256,4,True,,31.104,7.0,4592,1.0,2810,200,371,20,2.0,2.0,5194.0,35.5,20,20,6613
ablation,court-size,110,1,256,256,4,True,,38.016000000000005,7.0,4728,1.0,2572,200,314,20,2.0,2.0,4297.0,76.0,20,20,7975
ablation,court-size,120,1,256,256,4,True,,41.47200000000001,7.0,4728,1.0,2356,200,285,20,2.0,2.0,3809.0,76.0,20,20,8393
ablation,gate-width,5,1,256,256,4,True,,34.56,5.0,4692,1.0,2742,200,326,20,2.0,2.0,4753.0,67.5,20,20,7785
ablation,gate-width,9,1,256,256,4,True,,34.56,9.0,4576,1.0,2742,200,326,20,2.0,2.0,4753.0,67.5,20,20,7255
ablation,partition-wall,1,1,256,256,4,True,,34.56,7.0,4496,1.0,2742,200,326,20,1.0,2.0,4753.0,67.5,20,20,7607
ablation,partition-wall,3,1,256,256,4,True,,34.56,7.0,4728,1.0,2736,200,326,20,3.0,2.0,4753.0,66.0,20,20,7471
ablation,starting-towers,0,1,256,256,4,True,,34.56,7.0,4636,0.0,2742,200,326,20,2.0,0.0,4753.0,67.5,20,20,7585
ablation,starting-towers,2,1,256,256,4,True,,34.56,7.0,4636,2.0,2742,200,326,20,2.0,2.0,4753.0,67.5,20,20,7513
ablation,starting-towers,3,1,256,256,4,True,,34.56,7.0,4636,3.0,2742,200,326,20,2.0,2.0,4753.0,67.5,20,20,7537
ablation,wheat-amount,0,1,256,256,4,True,,34.56,7.0,4636,1.0,360,200,326,20,2.0,2.0,4753.0,0.0,20,20,8960
