seed,rotation,start,team,ai,ticks,peak_units,final_units,buildings,eliminated_tick,worker_births,wheat,wood,workers_starved,warriors_starved,workers_killed,warriors_killed,tower_shots,stone_delivered,ammunition_stone
1,0,0,0,nicowar,45000,86,0,0,33871,50,716,119,15,9,14,11,121,46,34
1,0,1,1,cortex,45000,475,331,25,-1,128,3805,170,38,122,1,86,103,35,34
1,0,2,2,cabino,45000,300,300,64,-1,166,2559,567,10,4,18,11,10,181,27
1,0,3,3,maxima,45000,94,5,0,42180,67,935,91,12,8,41,54,80,25,23
1,1,3,0,nicowar,45000,150,81,18,-1,152,2128,149,4,9,50,68,216,96,68
1,1,0,1,cortex,45000,248,248,19,-1,142,3654,183,0,4,31,86,157,43,50
1,1,1,2,cabino,45000,379,379,60,-1,152,2293,484,19,6,25,21,119,166,57
1,1,2,3,maxima,45000,92,86,12,-1,59,881,208,2,2,6,28,168,130,55
1,2,2,0,nicowar,45000,128,92,6,-1,146,1991,146,5,4,79,101,142,49,40
1,2,3,1,cortex,45000,373,248,27,-1,183,4708,154,9,47,19,140,351,102,109
1,2,0,2,cabino,45000,532,532,89,-1,271,3659,656,18,9,54,51,487,319,185
1,2,1,3,maxima,45000,74,27,12,-1,35,679,134,6,5,30,29,40,57,13
1,3,1,0,nicowar,45000,85,3,6,36825,56,911,119,12,11,45,39,93,32,23
1,3,2,1,cortex,45000,405,396,21,-1,157,4257,134,41,147,3,2,170,57,56
1,3,3,2,cabino,45000,412,412,79,-1,201,3057,609,3,5,10,21,45,176,35
1,3,0,3,maxima,45000,104,33,1,-1,113,1347,123,4,4,36,58,107,44,32
2,0,0,0,nicowar,25000,96,19,11,-1,54,713,105,9,10,8,11,65,28,21
2,0,1,1,cortex,25000,116,116,12,-1,43,856,54,2,0,0,0,26,9,8
2,0,2,2,cabino,25000,120,120,30,-1,41,785,167,3,0,0,1,1,12,0
2,0,3,3,maxima,25000,69,67,12,-1,33,458,79,1,0,0,4,76,34,25
3,0,0,0,nicowar,25000,103,102,21,-1,93,1095,134,2,0,5,15,33,17,9
3,0,1,1,cortex,25000,166,166,27,-1,43,1370,82,0,0,0,0,12,5,4
3,0,2,2,cabino,25000,112,112,29,-1,42,717,172,1,0,0,2,34,50,17
3,0,3,3,maxima,25000,57,57,10,-1,32,473,75,0,1,0,3,27,22,8
