Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,423.108,492.581,55,ok
fingerprint,2,380.857,460.818,55,ok
fingerprint,3,575.146,534.313,55,ok
old-town,1,925.982,922.975,58,ok
old-town,2,951.070,792.116,58,ok
old-town,3,1075.525,908.956,58,ok
symmetric-arena,1,569.927,512.494,11,ok
symmetric-arena,2,503.955,477.865,11,ok
symmetric-arena,3,446.673,534.140,11,ok
swamp,1,300.215,215.634,115,ok
swamp,2,160.569,173.068,115,ok
swamp,3,169.901,158.419,115,ok
tidal-flats,1,1143.158,1197.759,63,ok
tidal-flats,2,1212.132,1104.072,63,ok
tidal-flats,3,970.205,1191.900,64,ok
river,1,264.951,162.443,115,ok
river,2,309.694,237.523,115,ok
river,3,266.674,258.225,115,ok
isles,1,521.631,426.807,64,ok
isles,2,492.809,416.040,64,ok
isles,3,588.114,488.977,64,ok
ring-world,1,290.234,283.399,71,ok
ring-world,2,237.371,288.814,71,ok
ring-world,3,252.758,229.855,72,ok
amphitheatre,1,371.499,414.252,78,ok
amphitheatre,2,442.000,400.122,78,ok
amphitheatre,3,383.554,427.078,78,ok
shattered-coast,1,267.990,234.159,89,ok
shattered-coast,2,297.510,255.922,89,ok
shattered-coast,3,274.825,277.923,89,ok
crater-lakes,1,269.710,252.013,115,ok
crater-lakes,2,335.909,234.269,115,ok
crater-lakes,3,310.526,247.044,115,ok
fjord-continent,1,286.131,271.463,129,ok
fjord-continent,2,382.039,319.593,129,ok
fjord-continent,3,347.224,223.167,129,ok
spider-web,1,249.881,354.968,59,ok
spider-web,2,275.869,239.850,59,ok
spider-web,3,333.945,239.714,59,ok
concrete-islands,1,460.434,424.895,59,ok
concrete-islands,2,347.417,450.037,59,ok
concrete-islands,3,499.760,498.770,59,ok
watershed,1,590.168,567.364,76,ok
watershed,2,515.185,596.772,76,ok
watershed,3,543.882,531.551,76,ok
maze,1,69.904,62.356,33,ok
maze,2,65.575,112.211,33,ok
maze,3,120.481,122.425,33,ok
islands,1,383.770,302.958,114,ok
islands,2,302.941,278.590,114,ok
islands,3,246.952,287.730,114,ok
stone-highlands,1,536.470,516.394,256,ok
stone-highlands,2,540.215,335.029,244,ok
stone-highlands,3,532.798,438.419,254,ok
switchbacks,1,872.503,935.288,89,ok
switchbacks,2,1109.009,913.726,89,ok
switchbacks,3,903.489,782.232,89,ok
city-states,1,730.042,732.086,62,ok
city-states,2,661.517,612.089,62,ok
city-states,3,628.253,770.659,62,ok
canals,1,346.899,352.767,86,ok
canals,2,300.160,441.978,86,ok
canals,3,306.103,221.607,88,ok
sierpinski-gardens,1,391.858,390.163,149,ok
sierpinski-gardens,2,429.826,402.806,149,ok
sierpinski-gardens,3,397.341,318.706,149,ok
hilbert-river,1,436.320,478.997,161,ok
hilbert-river,2,450.794,600.184,159,ok
hilbert-river,3,546.043,539.245,161,ok
lava-shield,1,972.431,1144.988,96,ok
lava-shield,2,846.880,864.614,96,ok
lava-shield,3,922.844,847.156,96,ok
honeycomb-isle,1,116.106,105.139,156,ok
honeycomb-isle,2,96.506,171.147,156,ok
honeycomb-isle,3,195.382,56.780,160,ok
karst-towers,1,162.706,238.506,70,ok
karst-towers,2,346.143,164.928,70,ok
karst-towers,3,62.411,233.229,70,ok
bajada,1,365.260,430.157,70,ok
bajada,2,432.187,402.000,69,ok
bajada,3,318.262,310.402,70,ok
central-quarry,1,391.050,997.250,96,ok
central-quarry,2,1305.421,318.247,94,ok
central-quarry,3,365.277,978.492,94,ok
hidden-oasis,1,969.760,276.022,114,ok
hidden-oasis,2,250.582,968.674,118,ok
hidden-oasis,3,680.116,355.898,116,ok
gauntlet,1,261.354,212.133,94,ok
gauntlet,2,317.652,210.789,94,ok
gauntlet,3,317.560,294.750,94,ok
rugged-archipelago,1,182.699,224.924,77,ok
rugged-archipelago,2,126.934,101.772,77,ok
rugged-archipelago,3,190.448,149.247,77,ok
contested-commons,1,406.072,366.755,91,ok
contested-commons,2,347.343,317.979,91,ok
contested-commons,3,439.567,376.038,91,ok
rain-shadow,1,184.857,258.596,57,ok
rain-shadow,2,203.858,290.101,57,ok
rain-shadow,3,308.578,187.174,57,ok
everglades,1,219.194,273.221,60,ok
everglades,2,218.781,258.333,60,ok
everglades,3,254.513,203.366,60,ok
polder,1,248.885,273.373,62,ok
polder,2,268.222,300.822,62,ok
polder,3,216.667,338.601,62,ok
carousel,1,439.081,477.446,81,ok
carousel,2,485.664,494.741,81,ok
carousel,3,611.713,522.904,81,ok
old-growth,1,280.395,318.271,61,ok
old-growth,2,258.099,330.326,61,ok
old-growth,3,261.158,369.282,61,ok
anthill,1,280.974,313.055,60,ok
anthill,2,243.584,247.587,60,ok
anthill,3,215.496,291.404,60,ok
coral,1,142.624,269.838,63,ok
coral,2,187.444,154.227,63,ok
coral,3,174.270,144.513,63,ok
emoji,1,160.663,158.502,83,ok
emoji,2,154.775,143.387,83,ok
emoji,3,200.285,109.926,83,ok
forts,1,425.189,461.456,122,ok
forts,2,445.206,313.617,126,ok
forts,3,354.860,429.234,126,ok
braided-delta,1,258.531,163.298,63,ok
braided-delta,2,137.170,177.397,63,ok
braided-delta,3,197.995,188.813,63,ok
breachable-highlands,1,136.595,165.752,133,ok
breachable-highlands,2,149.098,145.424,129,ok
breachable-highlands,3,100.964,116.058,133,ok
hedgerow-country,1,188.648,240.468,64,ok
hedgerow-country,2,204.870,194.134,64,ok
hedgerow-country,3,164.478,142.006,64,ok
glacis,1,341.887,328.831,90,ok
glacis,2,433.220,390.804,90,ok
glacis,3,349.762,396.498,90,ok
allotments,1,132.350,140.641,60,ok
allotments,2,143.517,145.957,60,ok
allotments,3,66.851,151.314,60,ok
caravanserai,1,326.670,353.835,75,ok
caravanserai,2,301.473,339.848,69,ok
caravanserai,3,335.633,392.252,69,ok
braided-river,1,292.789,233.026,99,ok
braided-river,2,231.315,208.186,99,ok
braided-river,3,211.054,206.229,99,ok
drumlin-field,1,1079.476,921.646,64,ok
