game,team,ai,start,ticks,alive,units,peak,buildings,births,wheat,wood,starved,combat,eliminated
calibration,0,nicowar,"104,76",25000,True,73,72,18,35,553,103,1,3,-1
calibration,1,nicowar,"183,102",25000,True,58,66,16,48,601,115,0,4,-1
calibration,2,nicowar,"72,148",25000,True,25,55,8,33,444,112,4,1,-1
calibration,3,nicowar,"148,178",25000,True,62,58,17,37,508,155,4,0,-1
calibration2,0,nicowar,"104,74",30000,True,84,101,16,72,1031,188,0,11,-1
calibration2,1,nicowar,"184,103",30000,True,144,160,20,73,1149,221,4,14,-1
calibration2,2,nicowar,"72,148",30000,True,131,143,12,71,1121,320,2,25,-1
calibration2,3,nicowar,"148,179",30000,False,0,59,1,43,561,129,8,17,24315
duel,0,cortex,"170,138",45000,True,165,162,16,29,815,108,0,2,-1
duel,1,maxima,"80,108",45000,True,57,104,3,45,807,52,1,42,-1
final-play-0,0,nicowar,"103,74",45000,False,1,108,1,98,1288,286,13,112,43194
final-play-0,1,cortex,"183,104",45000,True,249,277,26,62,2217,171,21,29,-1
final-play-0,2,cabino,"70,148",45000,False,0,90,0,37,760,197,28,65,33726
final-play-0,3,maxima,"149,179",45000,True,141,142,13,81,1391,267,5,34,-1
final-play-1,0,nicowar,"149,179",45000,True,148,157,23,107,1622,437,6,26,-1
final-play-1,1,cortex,"103,74",45000,False,0,38,0,23,447,99,10,17,23437
final-play-1,2,cabino,"183,104",45000,True,104,139,31,81,1405,232,2,40,-1
final-play-1,3,maxima,"70,148",45000,True,79,118,5,77,1342,119,32,52,-1
final-play-2,0,nicowar,"70,148",45000,True,129,165,19,100,1750,396,6,81,-1
final-play-2,1,cortex,"149,179",45000,True,184,178,20,101,1851,212,1,7,-1
final-play-2,2,cabino,"103,74",45000,True,66,115,5,64,1328,252,12,117,-1
final-play-2,3,maxima,"183,104",45000,True,105,119,8,76,1293,88,8,54,-1
final-play-3,0,nicowar,"183,104",45000,False,0,88,0,72,1054,297,15,63,38113
final-play-3,1,cortex,"70,148",45000,True,163,156,21,83,1700,194,1,6,-1
final-play-3,2,cabino,"149,179",45000,True,82,145,18,75,1432,287,4,50,-1
final-play-3,3,maxima,"103,74",45000,True,169,175,18,70,1446,164,7,95,-1
mixed,0,nicowar,"104,74",35000,False,0,53,1,59,722,148,11,46,29227
mixed,1,cortex,"184,103",35000,True,214,214,24,74,1738,147,0,12,-1
mixed,2,cabino,"72,148",35000,True,37,129,2,59,1123,285,2,115,-1
mixed,3,maxima,"148,179",35000,True,132,132,13,70,1124,79,1,34,-1
reference,0,nicowar,"91,204",25000,True,30,35,15,20,304,91,2,0,-1
reference,1,nicowar,"91,76",25000,True,33,37,15,27,354,109,3,0,-1
reference,2,nicowar,"219,76",25000,True,17,33,14,20,294,77,12,0,-1
reference,3,nicowar,"219,204",25000,True,30,31,15,23,323,86,0,0,-1
rotation-play-1909-0,0,nicowar,"182,137",45000,False,0,76,0,48,590,107,13,0,32269
rotation-play-1909-0,1,nicowar,"141,69",45000,True,22,116,3,42,602,92,5,1,-1
rotation-play-1909-0,2,nicowar,"101,185",45000,True,126,149,14,46,571,97,1,0,-1
rotation-play-1909-0,3,nicowar,"73,119",45000,False,0,124,0,43,578,122,0,0,35687
rotation-play-1909-1,0,nicowar,"73,119",45000,True,33,122,11,70,1262,426,17,65,-1
rotation-play-1909-1,1,nicowar,"182,137",45000,False,0,122,0,68,1170,317,46,75,37729
rotation-play-1909-1,2,nicowar,"141,69",45000,True,143,158,28,85,1549,457,4,5,-1
rotation-play-1909-1,3,nicowar,"101,185",45000,False,0,65,3,59,821,161,17,22,31181
rotation-play-71-0,0,nicowar,"101,75",45000,True,132,143,19,42,502,114,6,7,-1
rotation-play-71-0,1,nicowar,"185,110",45000,True,132,132,27,41,554,93,2,3,-1
rotation-play-71-0,2,nicowar,"70,148",45000,True,87,155,15,48,614,118,2,0,-1
rotation-play-71-0,3,nicowar,"150,178",45000,False,0,98,1,46,599,128,1,1,33753
rotation-play-71-1,0,nicowar,"150,178",45000,True,127,137,16,76,1404,438,3,39,-1
rotation-play-71-1,1,nicowar,"101,75",45000,True,32,114,11,79,1320,269,3,47,-1
rotation-play-71-1,2,nicowar,"185,110",45000,True,32,133,3,85,1510,420,8,51,-1
rotation-play-71-1,3,nicowar,"70,148",45000,True,149,151,22,80,1645,538,8,33,-1
rotation-play-71-2,0,nicowar,"70,148",45000,True,81,123,10,86,1540,440,0,30,-1
rotation-play-71-2,1,nicowar,"150,178",45000,True,141,178,30,84,1610,488,4,18,-1
rotation-play-71-2,2,nicowar,"101,75",45000,True,102,113,4,81,1519,353,8,44,-1
rotation-play-71-2,3,nicowar,"185,110",45000,True,108,122,16,83,1405,365,3,17,-1
rotation-play-71-3,0,nicowar,"185,110",45000,True,114,126,22,82,1460,399,2,14,-1
rotation-play-71-3,1,nicowar,"70,148",45000,True,63,123,5,82,1552,479,4,56,-1
rotation-play-71-3,2,nicowar,"150,178",45000,True,101,163,20,85,1500,500,7,21,-1
rotation-play-71-3,3,nicowar,"101,75",45000,True,110,123,11,94,1558,345,15,56,-1
team-play,0,nicowar,"176,152",41602,True,119,130,24,85,1138,212,31,11,-1
team-play,1,cortex,"90,174",41602,True,45,136,14,46,1088,100,109,7,-1
team-play,2,cabino,"75,100",41602,False,0,29,0,37,296,0,33,4,25776
team-play,3,maxima,"154,75",41602,False,9,102,0,95,1213,58,91,55,41598
