run,game_tick,outcome,action_type,building,x,y
long-old1,58334,DestroyedDuringConstruction,2,18,133,175
long-new1,47791,selected,3,6,134,180
long-new1,48350,SiteObserved,3,6,134,180
long-new1,57108,selected,1,-1,123,176
long-new1,57255,selected,1,-1,118,171
long-new1,57338,SiteObserved,1,207,123,176
long-new1,57338,SiteObserved,1,208,118,171
long-new1,64584,DestroyedDuringConstruction,1,208,118,171
long-new1,65126,DestroyedDuringConstruction,1,207,123,176
long-new1,66231,DestroyedDuringConstruction,3,6,134,180
long-old2,39972,DestroyedDuringConstruction,3,5,191,121
long-old2,41179,Completed,2,107,148,143
long-old2,49729,selection_became_invalid,3,111,151,149
long-old2,51136,selected,1,-1,151,150
long-old2,51488,selected,3,107,148,143
long-old2,51490,SiteObserved,3,107,148,143
long-old2,51859,CreateTimedOut,1,260,151,150
long-old2,51994,selected,1,-1,186,101
long-old2,52110,SiteObserved,1,267,186,101
long-old2,53307,DestroyedDuringConstruction,3,107,148,143
long-old2,53690,Completed,1,267,186,101
long-old2,56211,selected,2,267,186,101
long-old2,56219,SiteObserved,2,267,186,101
long-old2,57282,selected,1,-1,148,143
long-old2,57540,SiteObserved,1,311,148,143
long-old2,58682,DestroyedDuringConstruction,1,311,148,143
long-new2,43602,Completed,2,107,148,143
long-new2,44805,selected,1,-1,151,150
long-new2,44808,DestroyedDuringConstruction,3,5,191,121
long-new2,45262,selected,1,-1,186,101
long-new2,45269,SiteObserved,1,222,151,150
long-new2,45269,SiteObserved,1,227,186,101
long-new2,45717,selected,1,-1,191,121
long-new2,45736,SiteObserved,1,230,191,121
long-new2,45978,DestroyedDuringConstruction,1,230,191,121
long-new2,46108,selected,1,-1,191,121
long-new2,46268,selection_became_invalid,1,-1,188,107
long-new2,46269,SiteObserved,1,233,191,121
long-new2,46564,DestroyedDuringConstruction,1,233,191,121
long-new2,47013,selected,1,-1,191,121
long-new2,47176,Completed,1,227,186,101
long-new2,47626,selected,1,-1,188,107
long-new2,47629,CreateTimedOut,1,241,191,121
long-new2,48084,SiteObserved,1,249,188,107
long-new2,48528,selected,1,-1,192,113
long-new2,48531,Completed,1,222,151,150
long-new2,48531,SiteObserved,1,251,192,113
long-new2,50733,Completed,1,249,188,107
long-new2,50733,Completed,1,251,192,113
long-new2,51216,selection_became_invalid,3,222,151,150
long-new2,51685,selected,1,-1,145,149
long-new2,52144,selected,1,-1,191,120
long-new2,52147,SiteObserved,1,278,145,149
long-new2,52147,SiteObserved,1,280,191,120
long-new2,52586,selected,1,-1,185,133
long-new2,52592,DestroyedDuringConstruction,1,278,145,149
long-new2,52592,SiteObserved,1,284,185,133
long-new2,53052,selected,1,-1,145,149
long-new2,53059,SiteObserved,1,287,145,149
long-new2,53632,DestroyedDuringConstruction,1,287,145,149
long-new2,54056,selected,2,227,186,101
long-new2,54059,Completed,1,280,191,120
long-new2,54059,SiteObserved,2,227,186,101
long-new2,55226,Completed,1,284,185,133
long-new2,55666,selected,1,-1,182,125
long-new2,56118,selected,1,-1,143,137
long-new2,56121,SiteObserved,1,313,182,125
long-new2,56569,selected,2,249,188,107
long-new2,56573,SiteObserved,1,316,143,137
long-new2,56573,SiteObserved,2,249,188,107
long-new2,57035,selected,2,251,192,113
long-new2,57041,Completed,2,227,186,101
long-new2,57041,SiteObserved,2,251,192,113
long-new2,57474,selected,2,280,191,120
long-new2,57477,SiteObserved,2,280,191,120
long-new2,58133,Completed,1,316,143,137
