run,game_tick,population,workers,warriors,trained_warriors,desired_warriors,worker_ratio,warrior_ratio,barracks,desired_barracks,building_sites,unserved_food,critical_food
long-old1,46335,533,491,30,2,120,2,0,5,3,9,74,67
long-old1,47433,491,452,28,3,121,5,3,5,3,8,72,66
long-old1,48505,469,426,33,3,122,5,0,5,3,8,60,62
long-old1,49602,456,419,32,4,120,5,0,5,3,8,33,51
long-old1,50686,446,406,37,5,121,2,0,5,3,8,21,33
long-old1,51755,408,371,35,5,125,5,0,5,3,8,3,24
long-old1,52831,389,349,33,4,129,5,0,5,3,8,3,14
long-old1,53906,383,349,30,4,130,2,0,5,3,8,2,9
long-old1,54997,381,347,30,4,131,2,0,5,3,8,3,14
long-old1,56096,381,347,31,2,132,1,0,5,3,7,0,11
long-old1,57189,367,338,26,1,133,1,3,5,3,7,2,6
long-old1,58273,356,324,29,1,133,1,0,4,5,3,1,10
long-old1,59358,332,309,20,1,134,1,0,3,4,4,0,9
long-old1,60430,329,309,17,1,135,1,0,3,4,4,1,11
long-old1,61507,318,298,15,1,136,1,0,3,4,2,0,5
long-old1,62593,302,284,13,1,137,1,0,3,4,2,1,11
long-old1,63685,292,271,18,1,138,1,0,3,4,3,19,22
long-old1,64780,290,269,16,1,139,1,0,3,4,3,37,35
long-old1,65866,272,257,12,1,140,1,3,3,3,4,58,53
long-new1,46335,533,491,30,2,120,0,3,5,9,9,74,67
long-new1,47430,480,415,54,2,121,0,0,5,9,8,56,62
long-new1,48517,423,359,53,2,122,0,0,5,9,8,51,58
long-new1,49619,362,305,51,3,120,0,0,5,9,8,31,44
long-new1,50706,349,293,53,4,124,5,0,5,9,8,10,34
long-new1,51805,340,284,53,5,128,5,0,5,10,8,2,19
long-new1,52869,319,260,56,5,129,5,0,5,10,4,4,26
long-new1,53943,299,242,50,3,130,5,0,5,10,4,2,23
long-new1,55054,297,240,50,3,131,5,0,5,10,5,1,11
long-new1,56177,298,241,52,3,132,5,0,5,10,7,1,8
long-new1,57295,286,234,49,2,129,5,3,7,10,7,0,10
long-new1,58401,272,212,57,2,134,5,0,7,11,6,0,14
long-new1,59484,266,205,58,2,134,5,0,7,11,6,1,8
long-new1,60559,242,179,58,2,135,5,0,7,11,6,1,11
long-new1,61636,226,164,57,2,136,5,0,7,11,6,2,10
long-new1,62714,208,149,56,2,137,5,0,7,11,6,1,8
long-new1,63821,185,132,48,2,138,5,3,7,11,6,5,12
long-new1,64918,161,112,44,2,139,5,3,6,11,4,2,9
long-new1,65990,117,81,32,1,140,0,3,5,11,3,18,17
long-old2,39092,638,547,32,8,78,5,0,4,3,3,270,231
long-old2,40282,595,496,40,10,79,5,0,3,3,1,219,194
long-old2,41457,552,456,35,11,80,5,0,3,3,1,172,155
long-old2,42655,541,435,41,12,79,5,0,3,3,1,152,137
long-old2,43831,518,411,38,15,90,5,3,3,3,2,108,95
long-old2,44969,515,407,41,16,90,5,0,3,4,0,102,94
long-old2,46127,526,416,38,15,91,5,3,3,3,4,104,97
long-old2,47248,546,424,43,18,92,5,0,3,4,2,116,103
long-old2,48402,548,421,51,19,93,5,0,3,4,4,115,98
long-old2,49551,549,431,45,17,83,5,0,2,3,4,96,87
long-old2,50718,577,456,44,17,85,5,0,2,3,4,112,98
long-old2,51884,579,467,36,14,84,5,0,2,3,5,103,81
long-old2,53026,569,469,23,10,112,2,0,3,4,7,97,71
long-old2,54181,572,461,35,13,115,2,0,2,3,0,95,70
long-old2,55375,589,489,32,14,114,2,0,2,3,1,120,105
long-old2,56553,590,487,31,16,115,2,0,2,3,1,122,103
long-old2,57708,599,495,28,14,112,2,0,3,4,1,129,101
long-old2,58859,572,471,35,12,93,2,0,2,3,1,131,87
long-new2,39092,638,547,32,8,78,0,3,4,6,3,270,231
long-new2,40302,596,471,53,10,79,0,0,4,6,2,220,196
long-new2,41488,557,427,51,13,80,5,0,4,6,1,178,158
long-new2,42659,518,405,44,12,79,5,0,3,6,1,124,111
long-new2,43827,509,387,45,10,81,5,0,3,6,2,105,90
long-new2,44971,505,389,46,10,82,5,0,2,8,1,87,86
long-new2,46136,516,400,40,10,81,5,3,4,7,4,85,83
long-new2,47321,507,382,52,15,84,5,0,4,8,2,49,49
long-new2,48460,523,402,49,14,106,5,0,5,11,2,46,41
long-new2,49582,501,372,53,14,110,5,0,6,11,3,37,38
long-new2,50757,507,373,52,17,112,0,0,5,11,3,45,42
long-new2,51943,490,345,60,19,113,5,0,6,12,3,39,33
long-new2,53107,518,371,69,25,114,2,0,8,12,3,46,45
long-new2,54246,525,374,76,33,113,1,3,7,11,1,73,54
long-new2,55464,533,369,84,39,116,0,0,7,11,2,75,61
long-new2,56651,504,339,89,38,116,0,3,9,10,4,39,37
long-new2,57850,511,328,110,45,113,0,0,9,9,4,39,35
