group,seed,width,height,teams,workers,wheat_amount,wood_amount,wheat_rations,wood_tiles,worst_wheat_distance,worst_wood_distance,minimum_build_origins,unreachable_pairs,fallbacks,dropped_records,invalid_telemetry
rectangle-wide-final,201,256,128,5,4,100,100,9498,358,9,3,598,0,vultures.homes.shrunk;vultures.starter.split-rations,0,0
rectangle-wide-final,202,256,128,5,4,100,100,9484,375,9,2,574,0,vultures.homes.shrunk;vultures.starter.split-quarry;vultures.starter.split-rations,0,0
rectangle-wide-final,203,256,128,5,4,100,100,9522,348,9,2,484,0,vultures.homes.shrunk;vultures.starter.split-rations,0,0
rectangle-wide-final,204,256,128,5,4,100,100,9512,341,9,2,629,0,vultures.homes.shrunk;vultures.starter.split-rations,0,0
skinny,301,64,256,4,8,100,100,3652,304,4,2,626,0,vultures.lakes.omitted,0,0
skinny,302,64,256,4,8,100,100,3652,312,4,3,614,0,vultures.lakes.omitted,0,0
solo,301,128,64,1,1,0,200,48,298,8,3,831,0,vultures.homes.shrunk,0,0
solo,302,128,64,1,1,0,200,48,334,7,3,892,0,vultures.homes.shrunk,0,0
maximum-valid,301,512,512,12,8,200,200,143001,5211,2,4,1016,0,,0,0
zero-final,401,128,128,4,4,0,0,192,96,4,15,1441,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
zero-final,402,128,128,4,4,0,0,192,96,5,12,1498,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
zero-final,403,128,128,4,4,0,0,192,96,4,5,1521,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
zero-final,404,128,128,4,4,0,0,192,96,4,7,1473,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
crowded-final,401,128,128,4,4,200,200,7173,600,4,2,299,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
crowded-final,402,128,128,4,4,200,200,7143,564,5,3,277,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
crowded-final,403,128,128,4,4,200,200,7108,531,4,2,314,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
crowded-final,404,128,128,4,4,200,200,7080,615,4,2,290,0,vultures.homes.shrunk;vultures.lakes.omitted,0,0
