Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,2756.800,1975.750,55,ok
fingerprint,2,1831.831,1965.677,55,ok
fingerprint,3,1986.663,1969.023,55,ok
old-town,1,2072.288,1828.569,58,ok
old-town,2,2058.677,1580.777,58,ok
old-town,3,1882.054,1844.131,58,ok
symmetric-arena,1,700.149,566.800,11,ok
symmetric-arena,2,586.820,518.187,11,ok
symmetric-arena,3,548.480,540.172,11,ok
swamp,1,306.107,314.498,65,ok
swamp,2,217.218,196.700,65,ok
swamp,3,256.223,268.195,65,ok
tidal-flats,1,872.913,992.331,63,ok
tidal-flats,2,926.432,987.143,63,ok
tidal-flats,3,770.460,825.066,64,ok
river,1,239.804,352.223,65,ok
river,2,176.179,318.669,65,ok
river,3,148.308,195.389,65,ok
isles,1,347.723,481.444,14,ok
isles,2,557.886,618.291,14,ok
isles,3,638.264,588.094,14,ok
ring-world,1,173.361,221.351,71,ok
ring-world,2,197.062,200.707,71,ok
ring-world,3,296.257,300.097,72,ok
amphitheatre,1,476.260,443.801,78,ok
amphitheatre,2,459.205,386.913,78,ok
amphitheatre,3,565.167,577.380,78,ok
shattered-coast,1,239.771,210.211,39,ok
shattered-coast,2,358.644,280.928,39,ok
shattered-coast,3,184.736,221.334,39,ok
crater-lakes,1,165.086,132.827,65,ok
crater-lakes,2,183.220,158.963,65,ok
crater-lakes,3,175.133,112.346,65,ok
fjord-continent,1,97.495,139.222,79,ok
fjord-continent,2,214.567,197.587,79,ok
fjord-continent,3,141.794,240.201,79,ok
spider-web,1,278.363,247.699,59,ok
spider-web,2,330.533,288.735,59,ok
spider-web,3,270.096,186.595,59,ok
concrete-islands,1,567.656,419.966,9,ok
concrete-islands,2,517.891,539.230,9,ok
concrete-islands,3,338.398,325.387,9,ok
watershed,1,276.628,321.667,76,ok
watershed,2,399.358,399.855,76,ok
watershed,3,404.671,422.902,76,ok
maze,1,104.537,41.302,33,ok
maze,2,77.505,234.709,33,ok
maze,3,156.507,177.625,33,ok
islands,1,259.058,226.276,64,ok
islands,2,307.422,193.573,64,ok
islands,3,173.151,121.659,64,ok
stone-highlands,1,368.371,356.758,256,ok
stone-highlands,2,384.413,350.785,244,ok
stone-highlands,3,486.149,439.438,254,ok
switchbacks,1,1613.434,1633.478,89,ok
switchbacks,2,1308.564,1505.586,89,ok
switchbacks,3,1483.811,1467.106,89,ok
city-states,1,691.428,831.507,62,ok
city-states,2,605.282,524.588,62,ok
city-states,3,1058.257,604.713,62,ok
canals,1,335.567,211.903,86,ok
canals,2,300.583,274.812,86,ok
canals,3,359.895,261.169,88,ok
vultures,1,635.862,310.458,92,ok
vultures,2,547.700,540.256,92,ok
vultures,3,504.415,503.687,92,ok
rugged-archipelago,1,155.451,158.963,27,ok
rugged-archipelago,2,102.398,210.963,27,ok
rugged-archipelago,3,285.736,123.274,27,ok
contested-commons,1,642.937,578.142,40,ok
contested-commons,2,718.085,639.671,40,ok
contested-commons,3,744.478,635.212,40,ok
rain-shadow,1,494.973,526.482,57,ok
rain-shadow,2,413.382,511.600,57,ok
rain-shadow,3,353.832,304.709,57,ok
everglades,1,480.364,289.769,60,ok
everglades,2,475.410,395.697,60,ok
everglades,3,943.933,921.186,60,ok
polder,1,943.755,785.735,62,ok
polder,2,754.835,710.752,62,ok
polder,3,793.284,676.775,62,ok
carousel,1,2285.580,2303.911,81,ok
carousel,2,2386.432,2894.107,81,ok
carousel,3,2421.446,2285.417,81,ok
old-growth,1,1010.734,946.824,61,ok
old-growth,2,919.592,1051.777,61,ok
old-growth,3,1049.074,658.974,61,ok
anthill,1,403.672,407.211,60,ok
anthill,2,753.248,521.724,60,ok
anthill,3,512.801,622.576,60,ok
coral,1,597.981,578.812,63,ok
coral,2,453.221,511.362,63,ok
coral,3,415.454,434.365,63,ok
uniform,1,41.223,20.530,4,ok
uniform,2,0.896,2.864,4,ok
uniform,3,2.607,0.897,4,ok
# telemetry: 96 cases, 96 generated, 0 semantic failures, off 60511.359 ms, on 57424.696 ms
