study,job,generator,seed,width,height,teams,category,hard,soft,diagnostic
service-bulk-boundaries,aebed9f531394af0f96c37171e680031,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,3679f76ed56a96a8c53426b5aa039406,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,35a76a98670e17fa9da029fbba0cb4bb,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,30d8db1edd92a49ec8bb397808a707f3,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,b4776d65a41522de631573b74a215d22,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,c8a42d4d4e6cb210718ab7a3b9c744de,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,d182ecf8e938f32c8fe6b9ce384d917c,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,785c4451075fd731319f302531157037,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,d01858dc941419a7399ac0f5dfbaf191,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,ac92bff89d2a28f6014811ca8e9aac24,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,9476c842f8a54e96eccea00da0d614f8,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,e0f86aa3d8004f2fa4002fecee425488,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,5dfc1c9c28ca5ed8209ab5bb8b364fdd,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,c093a45a0d40860223676fb3f363432f,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,f408efa3b52b6b8d7e6b7dcf4c6416f9,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,5af036ee788ed396e5273d5644439e2e,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,a1466b42707d0bf13f200f1d4abba600,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,fd6a00b9d082dece396ccaccba6e5fb9,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,c55c16a023c9ae2222de46c453cc13f5,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,d72ed21b76491d419857866c5ac28f22,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,0a1b4ce0178a6383b63f38dc8d77dda8,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,f3d73e3db67795e4247ea4dbea500bea,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,e881f6205ff1ba582701c57532b70c45,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,016f99f25a23bf8dcad11e78ebd6a94a,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,3919c9195e0591e251e4a2d7b6a091d7,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,a06a48140aa715feceb31c3069d941d7,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,0c36947e540213a4e3c12e3e3095db37,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,df3fc9815643180dfd816d386e4f8ffa,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,462b34244d9ebc73cbb69963366e684e,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,e80e6ea825945875d95223aeb2c3ac53,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,ab5a45978f9a28dd066a6532701cead3,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,b7c36d6548aebab6c06a033de867b640,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,8e68311b34206d7ecbd734e546b13c23,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,1e9b53b29aefd82d64ba8b1e1d1f9051,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,d12819b76de5f41e5bf29807ceb64d75,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,cf37aad0c0b253e8fe48523f75011fcb,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,2cc5de527892b2f3860cb192c2007852,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,fda3b3982d48ffa6c4e665361445c404,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,61643f6afdf92c3337337bbbf3fe1e03,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,cc61ee0aa58ff20183c9210154b70f3b,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,f40dcdf634ea4b538e04494ed558e266,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,f6cb0a8ac5d28bb6e015fbda95d87e74,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,555fdff56733da477371a2d20d8432cd,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,46c9aedb255e0b741ea87cc9b5abfdb1,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,0e7c977b1a59343be891203382ae7a24,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,e2331a011ddbc16a4f566d285eb2fdf8,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,2b098ed9c0577661486c805aa0c943fc,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,bdffc36520dcd274c50ac31b98f26116,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,47318303e59000c6bc003ce1e7aae758,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,caf7a8be0d683951abbee922a749c980,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,6dab76153efe2aa2a478a4ff43792f65,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,6bd2a5b69ce76b0eb5a9cdcf0fa384b4,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,04024dae0a11a53eb40954807315df50,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,889982ed2a29a99d5625e1b4c057f0f7,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,2dabcb5a70e16af0cb94fc12816ed04e,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,77d118276fc3eaf95ccd7116b7d622f2,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,123b8866d4ecc9b8fefad7fc11774e23,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,64ec4393f3256928cf6c291940943410,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,8d24fea19b6586aa3871f3e5a2abac6a,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,b9c51116df280496b877a2a70e6abc52,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
service-bulk-boundaries,831576b894eeed8d7a71f6f7b4e6f361,34,20001,8,8,4,success,,,sierpinski-gardens revision 1 seed 20001 [complete]:
service-bulk-boundaries,6c715c2642c91b52778578073be9d03f,34,20002,8,8,4,success,,,sierpinski-gardens revision 1 seed 20002 [complete]:
service-bulk-boundaries,94bccf5c7a312616bda4671cb53a1c2c,34,30001,8,8,4,success,,,sierpinski-gardens revision 1 seed 30001 [complete]:
service-bulk-boundaries,703dc4954335aa3851d7f90557eb4f89,34,30002,8,8,4,success,,,sierpinski-gardens revision 1 seed 30002 [complete]:
