generator,map_seed,map_roll_seed,rotation,engine_seed,status,end_reason,adjudication,ticks,wall_seconds,winner_start,winner_team,winner_x,winner_y,elimination_order,placement_by_start,start_mismatch,orders,cap_checksum
15,2001,546346630,0,1,ok,elimination,decisive,47746,513.815,1,1,86,97,0@19451;2@29926;3@47745,0:4;1:1;2:3;3:2,0,0,
15,2001,546346630,0,2,ok,elimination,decisive,43810,469.288,3,3,38,27,1@34767;0@39430;2@43792,0:3;1:4;2:2;3:1,0,0,
15,2001,546346630,1,3,ok,elimination,decisive,60834,583.026,0,1,97,38,2@50558;3@55861;1@60803,0:1;1:2;2:4;3:3,0,0,
15,2001,546346630,1,4,ok,elimination,decisive,57698,574.026,2,3,27,86,0@28145;1@28974;3@57696,0:4;1:3;2:1;3:2,0,0,
15,2001,546346630,2,5,ok,elimination,decisive,47106,487.552,0,2,97,38,1@30911;2@42654;3@47094,0:1;1:4;2:3;3:2,0,0,
15,2001,546346630,2,6,ok,elimination,decisive,69730,802.76,0,2,97,38,1@31685;2@68196;3@69709,0:1;1:4;2:3;3:2,0,0,
15,2001,546346630,3,7,ok,elimination,decisive,44738,449.213,0,3,97,38,3@32238;1@34762;2@44708,0:1;1:3;2:2;3:4,0,0,
15,2001,546346630,3,8,ok,elimination,decisive,47202,423.661,3,2,38,27,0@22936;2@39118;1@47183,0:4;1:2;2:3;3:1,0,0,
15,2002,3034067026,0,1,ok,elimination,decisive,43810,522.736,3,3,36,25,0@31106;2@41552;1@43808,0:4;1:2;2:3;3:1,0,0,
15,2002,3034067026,0,2,ok,cap,cap-prestige,90000,998.324,0,0,99,36,1@20945;2@42404,0:1;1:4;2:3;3:2,0,0,bb5c40f5
15,2002,3034067026,1,3,ok,elimination,decisive,87202,862.544,3,0,36,25,1@16739;2@45439;0@87175,0:2;1:4;2:3;3:1,0,0,
15,2002,3034067026,1,4,ok,cap,cap-prestige,90000,1401.396,0,1,99,36,1@51184;2@84694,0:1;1:4;2:3;3:2,0,0,b8528149
15,2002,3034067026,2,5,ok,elimination,decisive,73154,691.71,2,0,25,88,3@26062;0@43057;1@73153,0:3;1:2;2:1;3:4,0,0,
15,2002,3034067026,2,6,ok,elimination,decisive,67522,724.254,2,0,25,88,0@50115;3@51623;1@67491,0:4;1:2;2:1;3:3,0,0,
15,2002,3034067026,3,7,ok,elimination,decisive,70466,510.525,3,2,36,25,0@27267;1@39874;2@70461,0:4;1:3;2:2;3:1,0,0,
15,2002,3034067026,3,8,ok,elimination,decisive,40770,354.113,1,0,88,99,3@23288;2@24880;0@40740,0:2;1:1;2:3;3:4,0,0,
15,2003,3140854180,0,1,ok,cap,cap-units,90000,905.885,3,3,91,28,0@31540;1@39224,0:4;1:3;2:2;3:1,0,0,0fa11d95
15,2003,3140854180,0,2,ok,elimination,decisive,40898,426.783,0,0,96,91,3@29328;2@37852;1@40874,0:1;1:2;2:3;3:4,0,0,
15,2003,3140854180,1,3,ok,elimination,decisive,44770,423.682,0,1,96,91,1@25261;3@25887;2@44756,0:1;1:4;2:2;3:3,0,0,
15,2003,3140854180,1,4,ok,elimination,decisive,48514,427.394,0,1,96,91,3@22715;1@24084;2@48482,0:1;1:3;2:2;3:4,0,0,
15,2003,3140854180,2,5,ok,elimination,decisive,50018,466.88,2,0,28,33,1@24359;3@27246;0@50010,0:2;1:4;2:1;3:3,0,0,
15,2003,3140854180,2,6,ok,elimination,decisive,55650,489.636,1,3,33,96,3@19244;2@27380;0@55618,0:2;1:1;2:3;3:4,0,0,
15,2003,3140854180,3,7,ok,elimination,decisive,46818,411.384,3,2,91,28,2@20496;1@34456;0@46812,0:2;1:3;2:4;3:1,0,0,
15,2003,3140854180,3,8,ok,elimination,decisive,86242,701.578,1,0,33,96,3@40606;2@53503;0@86217,0:2;1:1;2:3;3:4,0,0,
15,2004,401415200,0,1,ok,elimination,decisive,43650,497.431,3,3,39,21,2@21479;1@42670;0@43639,0:2;1:3;2:4;3:1,0,0,
15,2004,401415200,0,2,ok,cap,cap-units,90000,1048.492,0,0,103,39,3@43283;2@47283,0:1;1:2;2:3;3:4,0,0,1581031b
15,2004,401415200,1,3,ok,cap,cap-prestige,90000,962.653,3,0,39,21,2@37960;0@44166,0:3;1:2;2:4;3:1,0,0,1e94a8f2
15,2004,401415200,1,4,ok,elimination,decisive,59074,567.035,0,1,103,39,1@24647;2@59000;3@59058,0:1;1:4;2:3;3:2,0,0,
15,2004,401415200,2,5,ok,elimination,decisive,55522,523.66,0,2,103,39,2@33069;1@36307;3@55496,0:1;1:3;2:4;3:2,0,0,
15,2004,401415200,2,6,ok,cap,cap-prestige,90000,1122.976,3,1,39,21,0@34621;1@69830,0:4;1:3;2:2;3:1,0,0,b56aeeef
15,2004,401415200,3,7,ok,elimination,decisive,43810,334.842,1,0,85,103,2@26603;0@29105;3@43780,0:3;1:1;2:4;3:2,0,0,
15,2004,401415200,3,8,ok,elimination,decisive,34818,301.522,1,0,85,103,2@20732;3@28628;0@34801,0:2;1:1;2:4;3:3,0,0,
15,2005,2565527837,0,1,ok,elimination,decisive,35906,446.645,2,2,25,84,1@24774;0@30835;3@35876,0:3;1:4;2:1;3:2,0,0,
15,2005,2565527837,0,2,ok,elimination,decisive,49090,510.159,3,3,40,25,2@23266;0@46326;1@49069,0:3;1:2;2:4;3:1,0,0,
15,2005,2565527837,1,3,ok,elimination,decisive,66466,724.415,1,2,84,99,2@32266;0@33277;3@66461,0:3;1:1;2:4;3:2,0,0,
15,2005,2565527837,1,4,ok,elimination,decisive,81346,942.125,2,3,25,84,0@29088;3@63780;1@81325,0:4;1:2;2:1;3:3,0,0,
15,2005,2565527837,2,5,ok,elimination,decisive,44642,427.775,0,2,99,40,2@31677;1@36920;3@44636,0:1;1:3;2:4;3:2,0,0,
15,2005,2565527837,2,6,ok,elimination,decisive,38210,388.268,0,2,99,40,2@31084;1@33609;3@38198,0:1;1:3;2:4;3:2,0,0,
15,2005,2565527837,3,7,ok,elimination,decisive,65762,697.405,0,3,99,40,2@31508;3@39336;1@65741,0:1;1:2;2:4;3:3,0,0,
15,2005,2565527837,3,8,ok,elimination,decisive,83682,715.264,0,3,99,40,3@39472;2@72464;1@83665,0:1;1:2;2:3;3:4,0,0,
15,2006,926020328,0,1,ok,elimination,decisive,60386,622.445,3,3,89,26,2@27316;0@32245;1@60365,0:3;1:2;2:4;3:1,0,0,
15,2006,926020328,0,2,ok,elimination,decisive,57090,551.353,2,2,26,35,1@37823;0@41978;3@57083,0:3;1:4;2:1;3:2,0,0,
15,2006,926020328,1,3,ok,elimination,decisive,42946,460.999,0,1,98,89,3@35692;2@39966;1@42931,0:1;1:2;2:3;3:4,0,0,
15,2006,926020328,1,4,ok,elimination,decisive,50690,544.672,3,0,89,26,2@18962;1@43967;0@50683,0:2;1:3;2:4;3:1,0,0,
15,2006,926020328,2,5,ok,elimination,decisive,31906,313.335,1,3,35,98,3@22655;2@28793;0@31891,0:2;1:1;2:3;3:4,0,0,
15,2006,926020328,2,6,ok,elimination,decisive,43842,517.854,1,3,35,98,0@33721;3@35615;2@43818,0:4;1:1;2:2;3:3,0,0,
15,2006,926020328,3,7,ok,elimination,decisive,39522,373.436,1,0,35,98,0@25821;2@28260;3@39493,0:4;1:1;2:3;3:2,0,0,
15,2006,926020328,3,8,ok,elimination,decisive,38018,334.129,1,0,35,98,0@28812;2@30308;3@37996,0:4;1:1;2:3;3:2,0,0,
58,2001,546346630,0,1,ok,elimination,decisive,48418,521.674,2,2,84,108,1@44155;0@45371;3@48392,0:3;1:4;2:1;3:2,0,0,
58,2001,546346630,0,2,ok,elimination,decisive,31778,301.488,2,2,84,108,3@22863;1@29411;0@31747,0:2;1:3;2:1;3:4,0,0,
58,2001,546346630,1,3,ok,elimination,decisive,34658,327.157,1,2,20,4,0@19865;3@27814;2@34652,0:4;1:1;2:2;3:3,0,0,
58,2001,546346630,1,4,ok,elimination,decisive,23554,239.047,2,3,84,108,3@18018;1@21689;0@23529,0:2;1:3;2:1;3:4,0,0,
58,2001,546346630,2,5,ok,elimination,decisive,30338,269.293,2,0,84,108,1@22225;0@29619;3@30328,0:3;1:4;2:1;3:2,0,0,
58,2001,546346630,2,6,ok,elimination,decisive,32098,315.769,2,0,84,108,3@23674;1@32046;0@32097,0:2;1:3;2:1;3:4,0,0,
58,2001,546346630,3,7,ok,elimination,decisive,32898,311.377,2,1,84,108,1@31531;3@31561;0@32866,0:2;1:4;2:1;3:3,0,0,
58,2001,546346630,3,8,ok,elimination,decisive,35522,323.255,2,1,84,108,3@28937;1@32321;0@35507,0:2;1:3;2:1;3:4,0,0,
58,2002,23265159,0,1,ok,elimination,decisive,41410,512.845,3,3,108,4,2@28997;0@40474;1@41401,0:3;1:2;2:4;3:1,0,0,
58,2002,23265159,0,2,ok,elimination,decisive,58274,564.509,3,3,108,4,1@34875;2@43135;0@58270,0:2;1:4;2:3;3:1,0,0,
58,2002,23265159,1,3,ok,elimination,decisive,28258,283.299,1,2,44,60,3@19128;0@20945;2@28240,0:3;1:1;2:2;3:4,0,0,
58,2002,23265159,1,4,ok,elimination,decisive,42850,441.28,1,2,44,60,0@31793;3@41052;2@42839,0:4;1:1;2:2;3:3,0,0,
58,2002,23265159,2,5,ok,elimination,decisive,36322,343.873,3,1,108,4,2@33482;1@34642;0@36315,0:2;1:3;2:4;3:1,0,0,
58,2002,23265159,2,6,ok,elimination,decisive,53442,533.646,0,2,44,124,3@27307;1@38065;2@53440,0:1;1:3;2:2;3:4,0,0,
58,2002,23265159,3,7,ok,elimination,decisive,47202,488.71,2,1,108,68,0@26586;1@42746;3@47179,0:4;1:3;2:1;3:2,0,0,
58,2002,23265159,3,8,ok,elimination,decisive,49986,464.52,1,0,44,60,2@32698;3@41040;0@49959,0:2;1:1;2:4;3:3,0,0,
