generator,map_seed,roll_seed,ok,failure,quality_score,quality_fairness,starts,quality_by_start,map_fnv1a64_r0,generation_seconds
15,2001,546346630,1,,0.999034,0.999034,97:38;86:97;27:86;38:27,0.365;0.362;0.364;0.365,6407675144546386517,0.20169
15,2002,3034067026,1,,0.999772,0.999772,99:36;88:99;25:88;36:25,0.245;0.244;0.245;0.245,4786963649965994537,0.207096
15,2003,3140854180,1,,0.999029,0.999029,96:91;33:96;28:33;91:28,0.260;0.258;0.257;0.261,13365099052283025893,0.200279
15,2004,401415200,1,,0.998886,0.998886,103:39;85:103;21:85;39:21,0.167;0.169;0.168;0.165,9657668247228206974,0.184656
15,2005,2565527837,1,,0.999766,0.999766,99:40;84:99;25:84;40:25,0.289;0.289;0.288;0.288,1357266774913833350,0.211162
15,2006,926020328,1,,0.999151,0.999151,98:89;35:98;26:35;89:26,0.291;0.292;0.294;0.292,13939862588230905241,0.16077
58,2001,546346630,1,,0.910743,0.910743,20:68;20:4;84:108;84:44,0.309;0.310;0.593;0.522,15521538899324926004,1.624491
58,2002,23265159,1,,0.928814,0.928814,44:124;44:60;108:68;108:4,0.221;0.460;0.350;0.476,15518306703961575913,1.110987
58,2003,36133630,1,,0.882231,0.882231,84:3;20:60;20:124;84:68,0.102;0.226;0.527;0.360,10079506871270065255,1.606184
58,2004,380383894,1,,0.926673,0.926673,36:12;99:4;100:68;36:76,0.539;0.502;0.400;0.274,7328454792299124609,1.243893
58,2005,862494405,1,,0.935536,0.935536,116:68;52:116;52:52;116:4,0.200;0.396;0.212;0.398,1397468663525610990,1.182407
58,2006,3496247813,1,,0.941201,0.941201,100:68;36:99;36:36;100:2,0.268;0.455;0.314;0.458,15871853240652773872,1.526393
59,2001,2545613269,1,,0.958366,0.958366,65:14;6:32;6:80;69:93,0.091;-0.000;-0.071;-0.012,7447433643371705556,0.450086
59,2002,3034067026,1,,0.915426,0.915426,126:107;64:126;50:61;126:43,0.095;0.118;-0.132;0.211,7443758531994185709,0.497591
59,2003,36133630,1,,0.95846,0.95846,66:3;78:67;7:68;13:14,0.024;0.087;0.091;-0.057,7276333502014101014,0.352686
59,2004,3707936981,1,,0.963582,0.963582,12:50;79:38;73:89;119:95,-0.026;0.105;0.027;-0.011,5532536724867517790,0.37855
59,2005,862494405,1,,0.970348,0.970348,78:88;19:55;15:126;86:31,0.051;-0.036;0.083;0.055,17955234634693623758,0.378267
59,2006,2794315811,1,,0.918615,0.918615,61:95;127:65;125:17;51:44,0.101;-0.215;0.040;-0.022,2481463813822542675,0.366636
