Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,53.458,93.308,55,ok
fingerprint,2,97.827,130.154,55,ok
fingerprint,3,137.949,153.188,55,ok
old-town,1,279.178,299.062,58,ok
old-town,2,188.400,204.922,58,ok
old-town,3,221.753,314.732,58,ok
symmetric-arena,1,129.344,196.493,11,ok
symmetric-arena,2,188.629,132.682,11,ok
symmetric-arena,3,147.266,170.422,11,ok
swamp,1,62.544,61.385,115,ok
swamp,2,73.826,64.837,115,ok
swamp,3,75.376,45.304,115,ok
tidal-flats,1,356.149,321.308,63,ok
tidal-flats,2,344.225,710.711,63,ok
tidal-flats,3,358.132,323.084,64,ok
river,1,70.866,64.021,115,ok
river,2,76.707,78.938,115,ok
river,3,95.786,77.024,115,ok
isles,1,168.977,126.094,64,ok
isles,2,167.875,128.947,64,ok
isles,3,102.092,148.676,64,ok
ring-world,1,85.665,86.683,71,ok
ring-world,2,76.778,67.904,71,ok
ring-world,3,74.147,119.399,72,ok
amphitheatre,1,121.509,110.561,78,ok
amphitheatre,2,139.442,127.969,78,ok
amphitheatre,3,183.023,115.952,78,ok
shattered-coast,1,91.419,85.139,89,ok
shattered-coast,2,78.798,100.738,89,ok
shattered-coast,3,80.630,58.903,89,ok
crater-lakes,1,82.472,95.228,115,ok
crater-lakes,2,73.666,121.807,115,ok
crater-lakes,3,117.166,112.956,115,ok
fjord-continent,1,116.211,102.740,129,ok
fjord-continent,2,83.001,90.347,129,ok
fjord-continent,3,176.266,92.913,129,ok
spider-web,1,113.547,95.333,59,ok
spider-web,2,79.239,87.010,59,ok
spider-web,3,117.475,61.827,59,ok
concrete-islands,1,118.972,152.319,59,ok
concrete-islands,2,191.915,125.931,59,ok
concrete-islands,3,157.961,152.360,59,ok
watershed,1,184.662,154.499,76,ok
watershed,2,198.220,278.194,76,ok
watershed,3,288.978,189.607,76,ok
maze,1,59.253,39.814,33,ok
maze,2,19.688,44.863,33,ok
maze,3,31.200,69.398,33,ok
islands,1,109.992,102.027,114,ok
islands,2,149.364,186.692,114,ok
islands,3,141.351,100.692,114,ok
stone-highlands,1,183.326,128.501,256,ok
stone-highlands,2,163.011,143.295,244,ok
stone-highlands,3,186.563,171.218,254,ok
switchbacks,1,342.709,332.416,89,ok
switchbacks,2,389.861,376.462,89,ok
switchbacks,3,391.193,369.972,89,ok
city-states,1,337.938,322.017,62,ok
city-states,2,330.015,244.857,62,ok
city-states,3,279.648,291.056,62,ok
canals,1,130.672,185.807,86,ok
canals,2,235.851,185.473,86,ok
canals,3,137.360,200.152,88,ok
sierpinski-gardens,1,201.583,195.081,149,ok
sierpinski-gardens,2,237.743,182.253,149,ok
sierpinski-gardens,3,271.691,261.031,149,ok
