generator,ai,team,status,ticks,units,buildings,worker_births,wheat,wood,workers_starved,workers_killed,hungry,critical
15,cabino,0,completed,20000,49,14,28,430,122,0,0,4,3
15,cabino,1,completed,20000,58,16,32,476,126,0,0,4,2
15,cabino,2,completed,20000,55,18,29,419,96,0,0,7,6
15,cabino,3,completed,20000,63,17,33,481,130,0,0,6,2
15,cortex,0,completed,20000,83,19,32,692,82,0,0,9,5
15,cortex,1,completed,20000,101,26,43,906,94,0,0,16,7
15,cortex,2,completed,20000,74,17,33,656,71,0,1,12,2
15,cortex,3,completed,20000,76,18,34,766,108,0,4,11,5
15,maxima,0,completed,20000,91,10,43,618,78,1,1,13,12
15,maxima,1,completed,20000,47,7,26,357,68,0,2,11,9
15,maxima,2,completed,20000,82,9,52,612,75,0,2,11,10
15,maxima,3,completed,20000,45,8,27,458,63,0,1,8,5
59,cabino,0,completed,20000,60,17,33,502,128,0,0,3,2
59,cabino,1,completed,20000,70,22,38,571,131,0,1,6,4
59,cabino,2,completed,20000,44,14,23,335,79,0,0,7,2
59,cabino,3,completed,20000,27,11,14,197,51,0,0,6,2
59,cortex,0,completed,20000,31,12,19,432,117,0,0,10,1
59,cortex,1,completed,20000,58,25,24,699,79,0,0,10,4
59,cortex,2,completed,20000,22,9,12,236,47,0,0,5,0
59,cortex,3,completed,20000,9,5,4,80,12,0,0,1,0
59,maxima,0,completed,20000,4,3,0,42,7,0,0,0,0
59,maxima,1,completed,20000,52,6,26,307,36,0,0,16,10
59,maxima,2,completed,20000,39,3,22,260,34,0,0,9,8
59,maxima,3,completed,20000,10,3,3,52,11,0,0,0,0
60,cabino,0,completed,20000,64,18,37,544,83,0,0,8,4
60,cabino,1,completed,20000,52,12,28,424,71,0,1,5,3
60,cabino,2,completed,20000,35,8,17,303,95,0,1,8,6
60,cabino,3,completed,20000,58,16,31,473,75,0,0,4,3
60,cortex,0,completed,20000,94,25,33,903,90,0,0,9,7
60,cortex,1,completed,20000,29,1,23,475,52,2,11,10,10
60,cortex,2,completed,20000,47,16,24,493,59,0,1,3,2
60,cortex,3,completed,20000,118,27,44,981,115,0,0,5,2
60,maxima,0,completed,20000,79,9,39,531,63,0,2,19,12
60,maxima,1,completed,20000,49,8,36,435,65,13,0,24,17
60,maxima,2,completed,20000,21,1,22,270,64,5,5,8,8
60,maxima,3,completed,20000,50,7,39,467,58,1,14,12,12
