Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,49.985,46.797,55,ok
fingerprint,2,41.262,40.698,55,ok
fingerprint,3,41.016,42.940,55,ok
old-town,1,88.217,90.051,58,ok
old-town,2,89.888,86.850,58,ok
old-town,3,93.424,87.254,58,ok
symmetric-arena,1,52.023,52.038,11,ok
symmetric-arena,2,52.954,61.314,11,ok
symmetric-arena,3,53.573,52.575,11,ok
swamp,1,25.693,24.335,115,ok
swamp,2,24.055,23.612,115,ok
swamp,3,26.204,24.118,115,ok
tidal-flats,1,123.980,123.291,63,ok
tidal-flats,2,125.161,127.578,63,ok
tidal-flats,3,122.157,119.858,64,ok
river,1,24.313,24.060,115,ok
river,2,24.821,25.793,115,ok
river,3,31.771,32.033,115,ok
isles,1,52.148,52.268,64,ok
isles,2,51.670,51.587,64,ok
isles,3,51.894,52.141,64,ok
ring-world,1,31.686,30.268,71,ok
ring-world,2,29.586,29.314,71,ok
ring-world,3,29.398,29.551,72,ok
amphitheatre,1,50.361,48.071,78,ok
amphitheatre,2,47.785,47.359,78,ok
amphitheatre,3,50.336,49.621,78,ok
shattered-coast,1,33.875,33.702,89,ok
shattered-coast,2,33.026,32.672,89,ok
shattered-coast,3,34.610,34.400,89,ok
crater-lakes,1,34.666,32.453,115,ok
crater-lakes,2,34.479,34.110,115,ok
crater-lakes,3,30.029,29.834,115,ok
fjord-continent,1,31.676,31.742,129,ok
fjord-continent,2,32.932,31.972,129,ok
fjord-continent,3,31.587,35.399,129,ok
spider-web,1,37.666,37.566,59,ok
spider-web,2,41.231,39.675,59,ok
spider-web,3,40.195,36.537,59,ok
concrete-islands,1,60.930,65.241,59,ok
concrete-islands,2,60.758,61.462,59,ok
concrete-islands,3,62.864,63.338,59,ok
watershed,1,70.299,72.334,76,ok
watershed,2,69.327,61.872,76,ok
watershed,3,89.260,71.044,76,ok
maze,1,13.376,17.385,33,ok
maze,2,14.705,13.802,33,ok
maze,3,15.265,13.046,33,ok
islands,1,34.357,35.240,114,ok
islands,2,43.038,37.859,114,ok
islands,3,32.690,33.604,114,ok
stone-highlands,1,81.635,67.052,256,ok
stone-highlands,2,60.661,60.841,244,ok
stone-highlands,3,58.290,55.085,254,ok
switchbacks,1,150.778,136.835,89,ok
switchbacks,2,156.311,147.506,89,ok
switchbacks,3,162.340,144.666,89,ok
city-states,1,134.214,113.774,62,ok
city-states,2,112.500,105.143,62,ok
city-states,3,135.575,121.426,62,ok
