generator,map_seed,rotation,engine_seed,start,team,start_x,start_y,placement,won,result,alive,eliminated_tick,prestige,units,workers,explorers,warriors,buildings,sites,quality_fitness,quality_win_probability
15,2001,0,1,0,0,97,38,4,0,lost,0,19451,0,0,0,0,0,3,2,0.365358,0.25027
15,2001,0,1,1,1,86,97,1,1,won,1,-1,50,262,145,56,61,20,0,0.36198,0.249426
15,2001,0,1,2,2,27,86,3,0,lost,0,29926,0,0,0,0,0,0,0,0.364289,0.250002
15,2001,0,1,3,3,38,27,2,0,lost,0,47745,0,30,26,0,4,0,0,0.365491,0.250303
15,2001,1,2,3,0,38,27,4,0,lost,0,29790,0,0,0,0,0,0,0,0.365491,0.250303
15,2001,1,2,0,1,97,38,3,0,lost,0,30396,0,0,0,0,0,2,0,0.365358,0.25027
15,2001,1,2,1,2,86,97,1,1,won,1,-1,100,216,112,44,60,19,0,0.36198,0.249426
15,2001,1,2,2,3,27,86,2,0,lost,0,49260,0,23,22,0,1,0,0,0.364289,0.250002
15,2001,2,3,2,0,27,86,3,0,lost,0,40301,0,0,0,0,0,0,0,0.364289,0.250002
15,2001,2,3,3,1,38,27,1,1,won,1,-1,50,335,170,41,124,30,2,0.365491,0.250303
15,2001,2,3,0,2,97,38,4,0,lost,0,39303,0,0,0,0,0,0,0,0.365358,0.25027
15,2001,2,3,1,3,86,97,2,0,lost,0,49186,0,27,22,4,1,0,0,0.36198,0.249426
15,2001,3,4,1,0,86,97,1,1,won,1,-1,50,319,178,34,107,31,6,0.36198,0.249426
15,2001,3,4,2,1,27,86,2,0,lost,0,43115,0,3,3,0,0,0,0,0.364289,0.250002
15,2001,3,4,3,2,38,27,3,0,lost,0,32554,0,0,0,0,0,0,0,0.365491,0.250303
15,2001,3,4,0,3,97,38,4,0,lost,0,29527,0,0,0,0,0,0,0,0.365358,0.25027
15,2002,0,1,0,0,99,36,4,0,lost,0,31106,0,0,0,0,0,7,2,0.245096,0.250057
15,2002,0,1,1,1,88,99,2,0,lost,0,43808,0,1,1,0,0,1,0,0.244182,0.249829
15,2002,0,1,2,2,25,88,3,0,lost,0,41552,0,2,2,0,0,1,4,0.245096,0.250057
15,2002,0,1,3,3,36,25,1,1,won,1,-1,0,343,214,19,110,21,5,0.245096,0.250057
15,2002,1,2,3,0,36,25,1,1,won,1,-1,50,381,168,53,160,38,5,0.245096,0.250057
15,2002,1,2,0,1,99,36,4,0,lost,0,26920,0,0,0,0,0,2,4,0.245096,0.250057
15,2002,1,2,1,2,88,99,2,0,lost,0,48853,0,3,1,2,0,0,0,0.244182,0.249829
15,2002,1,2,2,3,25,88,3,0,lost,0,32104,0,0,0,0,0,0,0,0.245096,0.250057
15,2002,2,3,2,0,25,88,1,1,won,1,-1,50,495,221,57,217,44,6,0.245096,0.250057
15,2002,2,3,3,1,36,25,2,0,lost,0,60282,0,1,1,0,0,0,0,0.245096,0.250057
15,2002,2,3,0,2,99,36,4,0,lost,0,32658,0,0,0,0,0,3,0,0.245096,0.250057
15,2002,2,3,1,3,88,99,3,0,lost,0,39602,0,0,0,0,0,0,0,0.244182,0.249829
15,2002,3,4,1,0,88,99,2,0,undecided,1,-1,0,211,145,31,35,39,5,0.244182,0.249829
15,2002,3,4,2,1,25,88,1,1,undecided,1,-1,100,236,120,51,65,28,1,0.245096,0.250057
