generator,map_seed,rotation,engine_seed,team,start,peak_units,final_units,buildings,worker_births,wheat,wood,workers_starved,workers_killed,winner
15,2001,0,1,0,0,38,0,3,24,367,75,14,5,False
15,2001,0,1,1,1,263,262,20,131,2830,364,5,25,True
15,2001,0,1,2,2,70,0,0,85,941,112,15,34,False
15,2001,0,1,3,3,148,30,0,86,1840,236,5,68,False
15,2001,1,2,0,3,90,0,0,74,983,220,1,38,False
15,2001,1,2,1,0,63,0,2,38,548,127,10,18,False
15,2001,1,2,2,1,213,216,19,116,2718,396,3,24,True
15,2001,1,2,3,2,166,23,0,120,2239,375,12,124,False
15,2001,2,3,0,2,146,0,0,116,1728,393,2,73,False
15,2001,2,3,1,3,334,335,30,121,2982,494,2,1,True
15,2001,2,3,2,0,53,0,0,70,942,203,4,40,False
15,2001,2,3,3,1,167,27,0,138,2306,428,12,135,False
15,2001,3,4,0,1,318,319,31,91,2737,548,1,1,True
15,2001,3,4,1,2,117,3,0,107,1707,416,2,89,False
15,2001,3,4,2,3,44,0,0,56,793,132,3,24,False
15,2001,3,4,3,0,112,0,0,82,1128,227,1,50,False
15,2002,0,1,0,0,50,0,7,32,547,119,6,13,False
15,2002,0,1,1,1,89,1,1,102,1341,207,4,36,False
15,2002,0,1,2,2,166,2,1,116,1875,442,7,90,False
15,2002,0,1,3,3,343,343,21,120,2619,405,9,4,True
15,2002,1,2,0,3,377,381,38,115,3560,576,6,16,True
15,2002,1,2,1,0,46,0,2,28,490,87,6,15,False
15,2002,1,2,2,1,146,3,0,145,1971,325,2,110,False
15,2002,1,2,3,2,119,0,0,80,1250,231,3,57,False
15,2002,2,3,0,2,487,495,44,155,4827,782,2,4,True
15,2002,2,3,1,3,172,1,0,104,2797,604,2,100,False
15,2002,2,3,2,0,49,0,3,33,565,107,7,16,False
15,2002,2,3,3,1,121,0,0,124,1823,273,2,77,False
15,2002,3,4,0,1,340,211,39,209,7045,757,34,54,False
15,2002,3,4,1,2,248,236,28,246,5161,676,11,119,True
15,2002,3,4,2,3,51,0,0,34,453,65,21,13,False
15,2002,3,4,3,0,108,0,0,81,1055,156,5,64,False
59,2001,0,1,0,0,171,173,33,103,1713,390,0,1,True
59,2001,0,1,1,1,70,0,0,40,560,148,27,17,False
59,2001,0,1,2,2,90,0,0,56,777,211,40,20,False
59,2001,0,1,3,3,57,15,0,44,623,171,0,40,False
59,2001,1,2,0,3,43,5,0,32,476,165,11,20,False
59,2001,1,2,1,0,184,108,29,113,1561,455,46,0,True
59,2001,1,2,2,1,64,0,1,46,654,129,15,35,False
59,2001,1,2,3,2,92,0,1,64,836,347,32,36,False
59,2001,2,3,0,2,93,10,0,64,779,237,32,29,False
59,2001,2,3,1,3,30,0,0,25,348,49,14,15,False
59,2001,2,3,2,0,179,176,32,109,1545,329,0,1,True
59,2001,2,3,3,1,37,0,0,22,367,93,17,9,False
59,2001,3,4,0,1,119,0,0,77,1025,261,36,45,False
59,2001,3,4,1,2,82,16,0,57,823,274,14,32,False
59,2001,3,4,2,3,12,0,1,6,151,19,6,4,False
59,2001,3,4,3,0,187,180,27,119,1665,389,4,2,True
59,2002,0,1,0,0,52,5,0,42,1014,360,12,29,False
59,2002,0,1,1,1,124,125,25,90,2197,566,1,1,True
59,2002,0,1,2,2,96,0,4,72,1463,500,38,38,False
59,2002,0,1,3,3,82,0,0,58,842,364,36,26,False
59,2002,1,2,0,3,124,124,23,84,1319,437,2,0,True
59,2002,1,2,1,0,45,1,0,36,702,170,21,18,False
59,2002,1,2,2,1,81,18,0,55,1009,272,7,38,False
59,2002,1,2,3,2,48,0,0,36,609,160,20,20,False
59,2002,2,3,0,2,61,0,0,49,671,166,20,33,False
59,2002,2,3,1,3,127,127,19,83,1232,306,0,0,True
59,2002,2,3,2,0,33,0,1,22,321,86,21,5,False
59,2002,2,3,3,1,93,24,0,65,932,198,16,31,False
59,2002,3,4,0,1,121,73,17,93,2268,763,17,34,True
59,2002,3,4,1,2,25,0,0,26,304,69,14,16,False
59,2002,3,4,2,3,133,11,0,111,2331,745,32,74,False
59,2002,3,4,3,0,53,0,0,35,609,167,29,10,False
60,2001,0,1,0,0,197,198,34,73,1664,145,7,1,True
60,2001,0,1,1,1,84,0,0,58,1076,155,18,32,False
60,2001,0,1,2,2,23,0,0,17,181,27,15,1,False
60,2001,0,1,3,3,85,0,0,58,951,153,14,17,False
60,2001,1,2,0,3,56,0,0,41,493,76,18,17,False
60,2001,1,2,1,0,125,121,16,55,1060,92,7,0,True
60,2001,1,2,2,1,91,19,0,39,666,76,18,20,False
60,2001,1,2,3,2,49,0,0,30,335,71,22,9,False
60,2001,2,3,0,2,178,183,31,88,2077,174,2,1,True
60,2001,2,3,1,3,81,0,0,56,1002,209,9,32,False
60,2001,2,3,2,0,106,0,0,70,1126,153,30,23,False
60,2001,2,3,3,1,164,1,0,50,1973,296,37,39,False
60,2001,3,4,0,1,55,8,0,78,897,111,15,38,False
60,2001,3,4,1,2,34,0,0,50,551,106,11,19,False
60,2001,3,4,2,3,179,180,31,43,1343,130,2,1,True
60,2001,3,4,3,0,75,1,0,39,716,150,11,17,False
60,2002,0,1,0,0,85,14,0,90,1480,226,7,67,False
60,2002,0,1,1,1,122,0,0,59,1069,120,9,38,False
60,2002,0,1,2,2,218,218,38,85,2434,171,3,3,True
60,2002,0,1,3,3,98,0,0,69,1374,216,34,35,False
60,2002,1,2,0,3,161,161,26,105,2180,175,10,8,True
60,2002,1,2,1,0,155,13,0,113,2904,274,25,59,False
60,2002,1,2,2,1,145,8,0,74,2606,331,31,36,False
60,2002,1,2,3,2,128,0,0,71,1714,322,44,64,False
60,2002,2,3,0,2,168,169,32,90,1665,143,1,0,True
60,2002,2,3,1,3,85,7,0,70,1127,156,15,51,False
60,2002,2,3,2,0,78,0,0,59,1026,155,10,31,False
60,2002,2,3,3,1,145,0,0,52,1031,121,43,38,False
