generator,map_seed,map_roll_seed,rotation,engine_seed,status,end_reason,adjudication,ticks,wall_seconds,winner_start,winner_team,winner_x,winner_y,elimination_order,placement_by_start,start_mismatch,orders,cap_checksum
15,2001,546346630,0,1,ok,elimination,decisive,47746,272.958,1,1,86,97,0@19451;2@29926;3@47745,0:4;1:1;2:3;3:2,0,0,
15,2001,546346630,1,2,ok,elimination,decisive,49282,291.174,1,2,86,97,3@29790;0@30396;2@49260,0:3;1:1;2:2;3:4,0,0,
15,2001,546346630,2,3,ok,elimination,decisive,49218,353.759,3,1,38,27,0@39303;2@40301;1@49186,0:4;1:2;2:3;3:1,0,0,
15,2001,546346630,3,4,ok,elimination,decisive,43138,103.46,1,0,86,97,0@29527;3@32554;2@43115,0:4;1:1;2:2;3:3,0,0,
15,2002,3034067026,0,1,ok,elimination,decisive,43810,287.651,3,3,36,25,0@31106;2@41552;1@43808,0:4;1:2;2:3;3:1,0,0,
15,2002,3034067026,1,2,ok,elimination,decisive,48866,294.964,3,0,36,25,0@26920;2@32104;1@48853,0:4;1:2;2:3;3:1,0,0,
15,2002,3034067026,2,3,ok,elimination,decisive,60290,367.223,2,0,25,88,0@32658;1@39602;3@60282,0:4;1:3;2:1;3:2,0,0,
15,2002,3034067026,3,4,ok,cap,cap-prestige,90000,163.741,2,1,25,88,3@18541;0@29125,0:3;1:2;2:1;3:4,0,0,a555ce49
59,2001,1188153717,0,1,ok,elimination,decisive,34178,192.199,0,0,28,68,1@21927;2@29089;3@34162,0:1;1:4;2:3;3:2,0,0,
59,2001,1188153717,1,2,ok,elimination,decisive,39554,178.187,0,1,28,68,1@27846;2@35111;3@39529,0:1;1:4;2:3;3:2,0,0,
59,2001,1188153717,2,3,ok,elimination,decisive,31138,103.012,0,2,28,68,1@18352;3@24914;2@31125,0:1;1:4;2:2;3:3,0,0,
59,2001,1188153717,3,4,ok,elimination,decisive,37218,82.001,0,3,28,68,3@16536;1@31403;2@37209,0:1;1:3;2:2;3:4,0,0,
59,2002,23265159,0,1,ok,elimination,decisive,65282,397.558,1,1,60,68,3@46914;2@59043;0@65250,0:2;1:1;2:3;3:4,0,0,
59,2002,23265159,1,2,ok,elimination,decisive,38530,251.26,3,0,4,4,2@24572;0@34801;1@38518,0:3;1:2;2:4;3:1,0,0,
59,2002,23265159,2,3,ok,elimination,decisive,33314,108.919,3,1,4,4,0@23831;2@26256;1@33305,0:4;1:2;2:3;3:1,0,0,
59,2002,23265159,3,4,ok,elimination,decisive,79714,105.455,1,0,60,68,2@17193;0@34164;3@79688,0:3;1:1;2:4;3:2,0,0,
60,2001,844529007,0,1,ok,elimination,decisive,37506,162.209,0,0,113,116,2@11595;1@33810;3@37493,0:1;1:3;2:4;3:2,0,0,
60,2001,844529007,1,2,ok,elimination,decisive,24866,163.422,0,1,113,116,3@15291;2@18782;1@24851,0:1;1:2;2:3;3:4,0,0,
60,2001,844529007,2,3,ok,elimination,decisive,60706,128.859,2,0,97,62,0@33747;3@35489;1@60693,0:4;1:2;2:1;3:3,0,0,
60,2001,844529007,3,4,ok,elimination,decisive,33570,54.081,3,2,40,24,2@28486;0@30637;1@33567,0:3;1:2;2:4;3:1,0,0,
60,2002,23265159,0,1,ok,elimination,decisive,50306,287.668,2,2,77,114,1@33374;3@44560;0@50278,0:2;1:4;2:1;3:3,0,0,
60,2002,23265159,1,2,ok,elimination,decisive,77154,438.156,3,0,126,27,2@54288;0@76433;1@77136,0:3;1:2;2:4;3:1,0,0,
60,2002,23265159,2,3,ok,elimination,decisive,39586,91.865,2,0,77,114,1@29619;0@35890;3@39559,0:3;1:4;2:1;3:2,0,0,
60,2002,23265159,3,4,ok,elimination,decisive,43906,57.792,3,2,126,27,1@18960;0@27284;2@43881,0:3;1:4;2:2;3:1,0,0,
