job,host,seed,variant,shape,cohort,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,starter_secondary,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
369f3a597fe89393204eff2d49626d11,pharaoh-dev-2.local,41001,baseline,128x128x2,bulk,completed,lava-shield revision 1 seed 41001 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,4,0.988636,0.605364,472,0.625,0.71875,8,3,False,False,0,2,0,0,2
9b88a960beffaf6ec4e3763b01b159d2,pharaoh-dev-2.local,41002,baseline,128x128x2,bulk,completed,lava-shield revision 1 seed 41002 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,4,0.96135,0.542102,416,0.541667,0.625,8,3,False,False,0,2,0,0,2
b4bbc261cf7400fce9c73912273a392d,pharaoh-dev-2.local,42001,high-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42001 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.981096,0.584436,431,0.625,0.6875,15,3,False,False,0,2,0,0,2
231214c63f2c07260331e2f2128de2c5,pharaoh-dev-2.local,42001,low-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42001 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.975458,0.613527,490,0.625,0.71875,0,0,False,False,0,2,0,0,2
9c6aad754be16202db490d6c659727da,pharaoh-dev-2.local,42002,high-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42002 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.985757,0.566361,322,0.625,0.6875,15,5,False,False,0,2,0,0,2
99585fa93cb9cc022f37ed1a9fc6c1b3,pharaoh-dev-1.local,42002,low-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42002 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.989453,0.606863,522,0.625,0.71875,0,0,False,False,0,2,0,0,2
bdf11273fdd9bcfdedfccd275dfa0f3b,pharaoh-dev-1.local,42003,high-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42003 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.983705,0.604851,380,0.625,0.71875,15,5,False,False,0,2,0,0,2
3b47e77544994ac8acd3b837b229da9f,pharaoh-dev-1.local,42003,low-geometry,128x128x2,bulk,completed,lava-shield revision 1 seed 42003 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.998334,0.635674,526,0.625,0.71875,0,0,False,False,0,2,0,0,2
ec49d8d2384e065dc2129802746bc2e6,pharaoh-dev-1.local,43001,workers-min,128x128x2,bulk,completed,lava-shield revision 1 seed 43001 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,1,0.927487,0.547643,407,0.541667,0.6875,6,1,False,False,0,2,0,0,2
4dfda530ae983a41c16bd3d220ecf1c1,pharaoh-dev-3.local,43002,workers-max,128x128x2,bulk,completed,lava-shield revision 1 seed 43002 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,8,0.981952,0.592245,263,0.625,0.71875,6,0,False,False,0,2,0,0,2
0dcd09a644cf194bfe196c30538e9758,pharaoh-dev-3.local,41001,baseline,128x256x2,bulk,completed,lava-shield revision 1 seed 41001 [complete]: ,100,2,100,8,50,8,100,2,5,100,7,100,4,0.956472,0.588618,622,0.625,0.71875,8,4,False,False,0,2,0,0,2
912d9d6925780478f93e7f666aaabcba,pharaoh-dev-3.local,41002,baseline,128x256x2,bulk,completed,lava-shield revision 1 seed 41002 [complete]: ,100,2,100,8,50,8,100,2,5,100,7,100,4,0.981332,0.604136,617,0.625,0.625,8,3,False,False,0,2,0,0,2
70f24024e83c76c15bd76001cf3ae1e8,pharaoh-dev-2.local,42001,high-geometry,128x256x2,bulk,completed,lava-shield revision 1 seed 42001 [complete]: ,100,3,100,8,75,8,100,2,5,100,7,100,4,0.983581,0.622027,640,0.625,0.71875,15,4,False,False,0,2,0,0,2
f9d57225f92d7bacf5fea07d2a457970,pharaoh-dev-2.local,42001,low-geometry,128x256x2,bulk,completed,lava-shield revision 1 seed 42001 [complete]: ,100,0,100,8,25,6,100,2,3,100,7,100,4,0.991954,0.639994,788,0.625,0.71875,0,0,False,False,0,2,0,0,2
89cac64d02aac320b6777887967e82f6,pharaoh-dev-2.local,42002,high-geometry,128x256x2,bulk,completed,lava-shield revision 1 seed 42002 [complete]: ,100,3,100,8,75,8,100,2,5,100,7,100,4,0.980251,0.597998,654,0.625,0.6875,15,10,False,False,0,2,0,0,2
90dbab9b41e280cb8147a68ce19fb8fb,pharaoh-dev-2.local,42002,low-geometry,128x256x2,bulk,completed,lava-shield revision 1 seed 42002 [complete]: ,100,0,100,8,25,6,100,2,3,100,7,100,4,0.981886,0.641013,791,0.625,0.71875,0,0,False,False,0,2,0,0,2
