job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
8a677130bd35a242ff73e46bb9a49ef0,pharaoh-dev-1.local,61001,intermediate-default,128x128x1,completed,lava-shield revision 1 seed 61001 [complete]: ,100,2,100,7,50,8,100,1,5,100,7,100,4,1,0.637773,604,0.625,0.71875,10,5,False,0,2,0,0,2
09b7169e301e99903153a28893f78192,pharaoh-dev-1.local,61002,intermediate-default,128x128x1,completed,lava-shield revision 1 seed 61002 [complete]: ,100,2,100,7,50,8,100,1,5,100,7,100,4,1,0.642455,515,0.583333,0.71875,8,2,False,0,2,0,0,2
4585979953f29db967e9fa0d50a0c26c,pharaoh-dev-1.local,61003,intermediate-high,128x128x1,completed,lava-shield revision 1 seed 61003 [complete]: ,100,3,100,7,75,8,100,1,5,100,7,100,8,1,0.627298,383,0.625,0.71875,15,3,False,0,2,0,0,2
66746c22f4213eea37a658a791b41f9d,pharaoh-dev-1.local,61004,intermediate-high,128x128x1,completed,lava-shield revision 1 seed 61004 [complete]: ,100,3,100,7,75,8,100,1,5,100,7,100,8,1,0.625834,436,0.625,0.71875,12,1,False,0,2,0,0,2
2f978c72ebb4564842c3110cd778ab8b,pharaoh-dev-1.local,61001,intermediate-default,256x256x1,completed,lava-shield revision 1 seed 61001 [complete]: ,100,2,100,8,50,8,100,1,5,100,8,100,4,1,0.651978,1050,0.625,0.71875,10,9,False,0,2,0,0,2
83ea55d1c5929abd36c90d20a0eae3e9,pharaoh-dev-2.local,61002,intermediate-default,256x256x1,completed,lava-shield revision 1 seed 61002 [complete]: ,100,2,100,8,50,8,100,1,5,100,8,100,4,1,0.643485,1116,0.625,0.71875,10,8,False,0,2,0,0,2
68ebc634b23a8e81f4174b1788b3a13c,pharaoh-dev-2.local,61003,intermediate-high,256x256x1,completed,lava-shield revision 1 seed 61003 [complete]: ,100,3,100,8,75,12,100,1,9,100,8,100,8,1,0.653325,1023,0.625,0.71875,27,11,False,0,2,0,0,2
5518f6df8d2c571e595a52929ef178d2,pharaoh-dev-2.local,61004,intermediate-high,256x256x1,completed,lava-shield revision 1 seed 61004 [complete]: ,100,3,100,8,75,12,100,1,9,100,8,100,8,1,0.651089,1229,0.625,0.71875,27,13,False,0,2,0,0,2
a33429f6d086e487ac8ed671d7d8392d,pharaoh-dev-2.local,61001,intermediate-default,512x512x1,completed,lava-shield revision 1 seed 61001 [complete]: ,100,2,100,9,50,8,100,1,5,100,9,100,4,1,0.645773,1293,0.625,0.71875,10,9,False,0,2,0,0,2
f9351d5e5c16dc48b1832604bac62ab6,pharaoh-dev-3.local,61002,intermediate-default,512x512x1,completed,lava-shield revision 1 seed 61002 [complete]: ,100,2,100,9,50,8,100,1,5,100,9,100,4,1,0.641463,1022,0.625,0.71875,10,8,False,0,2,0,0,2
ec18b3961a2402d6f263cbf5111a267c,pharaoh-dev-3.local,61003,intermediate-high,512x512x1,completed,lava-shield revision 1 seed 61003 [complete]: ,100,3,100,9,75,12,100,1,9,100,9,100,8,1,0.631026,956,0.625,0.71875,27,20,False,0,2,0,0,2
549e761715f8c6b9d88774bfab23bdec,pharaoh-dev-3.local,61004,intermediate-high,512x512x1,completed,lava-shield revision 1 seed 61004 [complete]: ,100,3,100,9,75,12,100,1,9,100,9,100,8,1,0.653529,1187,0.625,0.71875,27,19,False,0,2,0,0,2
5a11465be607fb75eb709804354e7d30,pharaoh-dev-2.local,61001,intermediate-default,256x256x3,completed,lava-shield revision 1 seed 61001 [complete]: ,100,2,100,8,50,8,100,3,5,100,8,100,4,0.990611,0.637227,753,0.583333,0.71875,10,9,False,0,2,0,0,2
1e3304fbe01f31dc0192b6aef5d1467f,pharaoh-dev-2.local,61002,intermediate-default,256x256x3,completed,lava-shield revision 1 seed 61002 [complete]: ,100,2,100,8,50,8,100,3,5,100,8,100,4,0.992096,0.614867,781,0.625,0.6875,10,8,False,0,2,0,0,2
d71b398a88c403d8479f982df6f8521e,pharaoh-dev-2.local,61003,intermediate-high,256x256x3,completed,lava-shield revision 1 seed 61003 [complete]: ,100,3,100,8,75,12,100,3,9,100,8,100,8,0.983413,0.619808,807,0.625,0.71875,27,11,False,0,2,0,0,2
27bcb664f081cb089b9401aa4777b0c8,pharaoh-dev-2.local,61004,intermediate-high,256x256x3,completed,lava-shield revision 1 seed 61004 [complete]: ,100,3,100,8,75,12,100,3,9,100,8,100,8,0.955297,0.593951,906,0.625,0.71875,27,13,True,0,2,0,0,2
dc2dae6f42f2f3e327b92979806a0f74,pharaoh-dev-2.local,61001,intermediate-default,256x256x5,completed,lava-shield revision 1 seed 61001 [complete]: ,100,2,100,8,50,8,100,5,5,100,8,100,4,0.943166,0.57808,821,0.583333,0.6875,10,9,False,0,2,0,0,2
