job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
5395aac314d3b6792ccdcad8b22df72c,pharaoh-dev-3.local,41001,baseline,128x128x2,completed,lava-shield revision 1 seed 41001 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,4,0.988636,0.605364,472,0.625,0.71875,8,3,False,0,2,0,0,2
3377d0f67f1e4004b64744c21ca3dbd5,pharaoh-dev-3.local,41002,baseline,128x128x2,completed,lava-shield revision 1 seed 41002 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,4,0.96135,0.542102,416,0.541667,0.625,8,3,False,0,2,0,0,2
d506a97a91f5697fcdc03c755490a463,pharaoh-dev-3.local,42001,high-geometry,128x128x2,completed,lava-shield revision 1 seed 42001 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.981096,0.584436,431,0.625,0.6875,15,3,False,0,2,0,0,2
fc72f6ab35fc9ab06ec3aafa18d6c6bd,pharaoh-dev-2.local,42001,low-geometry,128x128x2,completed,lava-shield revision 1 seed 42001 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.975458,0.613527,490,0.625,0.71875,0,0,False,0,2,0,0,2
a9ff7b945e3bb12de45524b987adf92b,pharaoh-dev-2.local,42002,high-geometry,128x128x2,completed,lava-shield revision 1 seed 42002 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.985757,0.566361,322,0.625,0.6875,15,5,False,0,2,0,0,2
b9b89de127d5d8cd5434cdf6fc604a23,pharaoh-dev-2.local,42002,low-geometry,128x128x2,completed,lava-shield revision 1 seed 42002 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.989453,0.606863,522,0.625,0.71875,0,0,False,0,2,0,0,2
f8a2fbdac19e55d90acd34460ef0a088,pharaoh-dev-1.local,42003,high-geometry,128x128x2,completed,lava-shield revision 1 seed 42003 [complete]: ,100,3,100,7,75,8,100,2,5,100,7,100,4,0.983705,0.604851,380,0.625,0.71875,15,5,False,0,2,0,0,2
9d465b7042aa247c46ae94d5f4fc5b27,pharaoh-dev-1.local,42003,low-geometry,128x128x2,completed,lava-shield revision 1 seed 42003 [complete]: ,100,0,100,7,25,6,100,2,3,100,7,100,4,0.998334,0.635674,526,0.625,0.71875,0,0,False,0,2,0,0,2
da8d24e91cec6e5b4115cf91c8f041df,pharaoh-dev-1.local,43001,workers-min,128x128x2,completed,lava-shield revision 1 seed 43001 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,1,0.927487,0.547643,407,0.541667,0.6875,6,1,False,0,2,0,0,2
77ff5c1e960e92277d996da61ba2eeda,pharaoh-dev-3.local,43002,workers-max,128x128x2,completed,lava-shield revision 1 seed 43002 [complete]: ,100,2,100,7,50,8,100,2,5,100,7,100,8,0.981952,0.592245,263,0.625,0.71875,6,0,False,0,2,0,0,2
a0ed15705d240fbbc7e691aca08ceb88,pharaoh-dev-3.local,41001,baseline,128x256x2,completed,lava-shield revision 1 seed 41001 [complete]: ,100,2,100,8,50,8,100,2,5,100,7,100,4,0.956472,0.588618,622,0.625,0.71875,8,4,False,0,2,0,0,2
216293aababcc070dd87d20fa2200e67,pharaoh-dev-3.local,41002,baseline,128x256x2,completed,lava-shield revision 1 seed 41002 [complete]: ,100,2,100,8,50,8,100,2,5,100,7,100,4,0.981332,0.604136,617,0.625,0.625,8,3,False,0,2,0,0,2
71ac828b4c9daeded61d0aaa10cef0bc,pharaoh-dev-2.local,42001,high-geometry,128x256x2,completed,lava-shield revision 1 seed 42001 [complete]: ,100,3,100,8,75,8,100,2,5,100,7,100,4,0.983581,0.622027,640,0.625,0.71875,15,4,False,0,2,0,0,2
0aeca05154532a188880894f872a526a,pharaoh-dev-2.local,42001,low-geometry,128x256x2,completed,lava-shield revision 1 seed 42001 [complete]: ,100,0,100,8,25,6,100,2,3,100,7,100,4,0.991954,0.639994,788,0.625,0.71875,0,0,False,0,2,0,0,2
