team,tick,workers,warriors,explorers,food_critical,need_food,swarms,inns
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
0,512,4,0,0,0,0,1,0
1,512,4,0,0,0,0,1,0
2,512,4,0,0,0,0,1,0
3,512,4,0,0,0,0,1,0
4,512,4,0,0,0,0,1,0
5,512,4,0,0,0,0,1,0
6,512,4,0,0,0,0,1,0
7,512,4,0,0,0,0,1,0
8,512,4,0,0,0,0,1,0
9,512,4,0,0,0,0,1,0
10,512,4,0,0,0,0,1,0
11,512,4,0,0,0,0,1,0
0,1024,4,1,0,0,0,1,0
1,1024,4,1,0,0,0,1,0
2,1024,4,1,0,0,0,1,0
3,1024,4,1,0,0,0,1,0
4,1024,4,1,0,0,0,1,1
5,1024,4,1,0,0,0,1,1
6,1024,4,1,0,0,0,1,1
7,1024,4,1,0,0,0,1,0
8,1024,4,1,0,0,0,1,1
9,1024,4,1,0,0,0,1,1
10,1024,4,1,0,0,0,1,1
11,1024,4,1,0,0,0,1,1
0,1536,4,1,1,0,0,1,0
1,1536,4,1,1,0,0,1,1
2,1536,4,1,1,0,0,1,1
3,1536,4,1,1,0,0,1,1
4,1536,4,1,0,0,0,1,1
5,1536,4,1,0,0,0,1,1
6,1536,4,1,1,0,0,1,1
7,1536,4,1,1,0,0,1,1
8,1536,4,1,1,0,0,1,1
9,1536,4,1,0,0,0,1,1
10,1536,4,1,0,0,0,1,1
11,1536,4,1,1,0,0,1,1
0,2048,5,1,1,0,0,1,1
1,2048,4,1,1,0,0,1,1
2,2048,5,1,1,0,0,1,1
3,2048,5,1,1,0,0,1,1
4,2048,4,1,1,0,0,1,1
5,2048,4,1,1,0,0,1,1
6,2048,4,1,1,0,0,1,1
7,2048,5,1,1,0,0,1,1
8,2048,4,1,1,0,0,1,1
9,2048,4,1,1,0,0,1,1
10,2048,4,1,1,0,0,1,1
11,2048,4,1,1,0,0,1,1
0,2560,6,1,1,0,0,1,1
1,2560,5,1,1,0,0,1,1
2,2560,6,1,1,0,0,1,1
3,2560,5,1,1,0,0,1,1
4,2560,5,1,1,0,0,1,1
5,2560,4,1,1,0,0,1,1
6,2560,5,1,1,0,0,1,1
7,2560,6,1,1,0,0,1,1
8,2560,5,1,1,0,0,1,2
9,2560,4,1,1,0,0,1,1
10,2560,5,1,1,0,0,1,1
11,2560,5,1,1,0,0,1,1
0,3072,7,1,1,0,0,1,1
1,3072,6,1,1,0,0,1,1
