experiment,case,ai,team,tick,units,buildings,critical,hungry,critical_share,harvested_wheat,harvested_wood,harvested_fruit,meals,starvation_deaths
lava-shield-initial-playtest-20260915,default,nicowar,0,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,512,4,1,0,0,0.0,4,1,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,512,4,1,0,0,0.0,4,1,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,512,4,1,0,0,0.0,5,1,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,512,4,1,0,0,0.0,5,1,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,1024,5,1,0,0,0.0,10,2,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,1024,5,1,0,0,0.0,10,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,1024,5,2,0,0,0.0,9,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,1024,5,1,0,0,0.0,9,2,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,1536,6,2,0,0,0.0,14,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,1536,5,2,0,0,0.0,17,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,1536,5,2,0,0,0.0,18,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,1536,6,2,0,0,0.0,14,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,2048,6,2,0,0,0.0,22,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,2048,6,2,0,0,0.0,26,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,2048,6,2,0,0,0.0,22,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,2048,6,2,0,0,0.0,21,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,2560,7,2,0,0,0.0,30,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,2560,7,2,0,0,0.0,35,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,2560,7,2,0,0,0.0,27,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,2560,7,2,0,0,0.0,30,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,3072,8,2,0,0,0.0,38,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,3072,9,2,0,0,0.0,43,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,3072,7,2,0,0,0.0,31,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,3072,8,2,0,0,0.0,38,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,3584,10,2,0,0,0.0,48,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,3584,11,2,0,0,0.0,55,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,3584,8,2,0,0,0.0,37,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,3584,9,2,0,0,0.0,45,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,4096,11,2,0,1,0.0,64,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,4096,12,2,0,1,0.0,77,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,2,4096,9,2,0,1,0.0,43,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,4096,11,2,0,1,0.0,54,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,4608,12,2,0,1,0.0,73,7,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,1,4608,14,2,0,0,0.0,100,3,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,2,4608,10,2,0,1,0.0,51,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,3,4608,12,2,0,1,0.0,68,3,0,0,0
lava-shield-initial-playtest-20260915,default,nicowar,0,5120,13,3,0,2,0.0,89,10,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,1,5120,15,3,0,2,0.0,115,3,0,1,0
