config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
edge-1-width-min,1,24001,1,8192,4506,192,2332,1162,3604,2622,4811,772,2609,0.000740,354655092834897733,787,8,15,4,264,396,150,496,ok
edge-1-width-min,1,24001,1,8192,4506,192,2332,1162,3604,2622,4811,772,2609,0.000750,354655092834897733,787,8,15,4,264,396,150,496,ok
edge-1-width-min,1,24003,1,8192,4613,193,2403,983,3624,2562,4869,684,2639,0.000747,7387189732466504953,304,11,10,4,326,428,135,493,ok
edge-1-width-min,1,24003,1,8192,4613,193,2403,983,3624,2562,4869,684,2639,0.000832,7387189732466504953,304,11,10,4,326,428,135,493,ok
edge-1-width-min,1,24004,1,8192,4620,158,2378,1036,3614,2727,4887,676,2629,0.000962,2283787201577684569,617,9,15,4,365,369,165,496,ok
edge-1-width-min,1,24004,1,8192,4620,158,2378,1036,3614,2727,4887,676,2629,0.000756,2283787201577684569,617,9,15,4,365,369,165,496,ok
edge-1-width-max,1,24001,1,65536,37323,1159,19630,7424,29612,23502,39237,4871,21428,0.005554,1510421835335318050,0,10,22,3,3212,3101,1305,3962,ok
edge-1-width-max,1,24001,1,65536,37323,1159,19630,7424,29612,23502,39237,4871,21428,0.005554,1510421835335318050,0,10,22,3,3212,3101,1305,3962,ok
edge-1-width-max,1,24003,1,65536,37237,1253,19644,7402,29543,23365,39129,4952,21455,0.008551,14655133220378056420,1113,13,12,4,3214,3093,1287,3970,ok
edge-1-width-max,1,24003,1,65536,37237,1253,19644,7402,29543,23365,39129,4952,21455,0.005900,14655133220378056420,1113,13,12,4,3214,3093,1287,3970,ok
edge-1-width-max,1,24004,1,65536,37291,1033,19678,7534,29538,23442,39224,4800,21512,0.005538,2696248690097268267,968,7,17,4,3572,2687,1398,3966,ok
edge-1-width-max,1,24004,1,65536,37291,1033,19678,7534,29538,23442,39224,4800,21512,0.008577,2696248690097268267,968,7,17,4,3572,2687,1398,3966,ok
edge-1-height-min,1,24001,1,8192,4611,153,2419,1009,3618,2677,4875,656,2661,0.000746,5993380641348072149,921,12,16,4,390,360,146,496,ok
edge-1-height-min,1,24001,1,8192,4611,153,2419,1009,3618,2677,4875,656,2661,0.000782,5993380641348072149,921,12,16,4,390,360,146,496,ok
edge-1-height-min,1,24003,1,8192,4757,102,2531,802,3628,2731,4960,502,2730,0.000738,1808543194305134926,750,14,12,4,430,394,219,495,ok
edge-1-height-min,1,24003,1,8192,4757,102,2531,802,3628,2731,4960,502,2730,0.000738,1808543194305134926,750,14,12,4,430,394,219,495,ok
edge-1-height-min,1,24004,1,8192,4651,130,2452,959,3631,2635,4906,609,2677,0.000739,1517223058165164336,596,14,13,4,440,297,191,495,ok
edge-1-height-min,1,24004,1,8192,4651,130,2452,959,3631,2635,4906,609,2677,0.000754,1517223058165164336,596,14,13,4,440,297,191,495,ok
edge-1-height-max,1,24001,1,65536,36887,1444,19417,7788,29444,23038,38891,5338,21307,0.125080,18349716135080740857,604,20,12,4,3366,2798,1183,3961,ok
edge-1-height-max,1,24001,1,65536,36887,1444,19417,7788,29444,23038,38891,5338,21307,0.005767,18349716135080740857,604,20,12,4,3366,2798,1183,3961,ok
edge-1-height-max,1,24003,1,65536,37321,1304,19671,7240,29663,23616,39187,4923,21426,0.128583,18016351330854298622,420,11,6,4,3160,3109,1291,3979,ok
edge-1-height-max,1,24003,1,65536,37321,1304,19671,7240,29663,23616,39187,4923,21426,0.023905,18016351330854298622,420,11,6,4,3160,3109,1291,3979,ok
edge-1-height-max,1,24004,1,65536,37162,1310,19428,7636,29562,23232,39119,5127,21290,0.127327,14147695598255769863,425,10,13,4,3343,2920,1244,3976,ok
edge-1-height-max,1,24004,1,65536,37162,1310,19428,7636,29562,23232,39119,5127,21290,0.010093,14147695598255769863,425,10,13,4,3343,2920,1244,3976,ok
edge-1-teams-min,1,24001,1,16384,9332,282,4946,1824,7377,5675,9806,1193,5385,0.001638,3691568818373152596,688,1,6,1,969,641,315,994,ok
