config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
tuned-1,1,20001,1,16384,9407,255,4976,1746,7350,5769,9863,1127,5394,0.002328,7236876312709859385,778,21,10,4,899,679,376,994,ok
tuned-1,1,20001,1,16384,9407,255,4976,1746,7350,5769,9863,1127,5394,0.001573,7236876312709859385,778,21,10,4,899,679,376,994,ok
tuned-1,1,20501,1,16384,9191,321,4792,2080,7325,5597,9725,1360,5299,0.001470,11881546283155097526,301,11,12,4,850,620,285,994,ok
tuned-1,1,20501,1,16384,9191,321,4792,2080,7325,5597,9725,1360,5299,0.001530,11881546283155097526,301,11,12,4,850,620,285,994,ok
tuned-1,1,21000,1,16384,9279,320,4853,1932,7327,5725,9777,1285,5322,0.001400,7751438996836461236,996,9,12,4,869,652,338,991,ok
tuned-1,1,21000,1,16384,9279,320,4853,1932,7327,5725,9777,1285,5322,0.001391,7751438996836461236,996,9,12,4,869,652,338,991,ok
lobby-before-1,1,20001,1,16384,6754,471,6555,2604,4131,2588,7400,1774,7210,0.001396,139748870996220420,368,6,8,4,954,1175,390,1340,ok
lobby-before-1,1,20001,1,16384,6754,471,6555,2604,4131,2588,7400,1774,7210,0.001401,139748870996220420,368,6,8,4,954,1175,390,1340,ok
lobby-before-1,1,20501,1,16384,6840,429,6644,2471,4168,2505,7464,1664,7256,0.001389,4977281537429872268,115,13,9,4,1171,988,412,1343,ok
lobby-before-1,1,20501,1,16384,6840,429,6644,2471,4168,2505,7464,1664,7256,0.001428,4977281537429872268,115,13,9,4,1171,988,412,1343,ok
lobby-before-1,1,21000,1,16384,6891,436,6749,2308,4170,2660,7471,1589,7324,0.001388,6735253612666609590,0,6,11,3,1117,1046,466,1345,ok
lobby-before-1,1,21000,1,16384,6891,436,6749,2308,4170,2660,7471,1589,7324,0.001379,6735253612666609590,0,6,11,3,1117,1046,466,1345,ok
editor-before-1,1,20001,1,16384,6754,471,6555,2604,4131,2588,7400,1774,7210,0.001390,139748870996220420,368,6,8,4,954,1175,390,1340,ok
editor-before-1,1,20001,1,16384,6754,471,6555,2604,4131,2588,7400,1774,7210,0.001398,139748870996220420,368,6,8,4,954,1175,390,1340,ok
editor-before-1,1,20501,1,16384,6840,429,6644,2471,4168,2505,7464,1664,7256,0.001375,4977281537429872268,115,13,9,4,1171,988,412,1343,ok
editor-before-1,1,20501,1,16384,6840,429,6644,2471,4168,2505,7464,1664,7256,0.001377,4977281537429872268,115,13,9,4,1171,988,412,1343,ok
editor-before-1,1,21000,1,16384,6891,436,6749,2308,4170,2660,7471,1589,7324,0.001397,6735253612666609590,0,6,11,3,1117,1046,466,1345,ok
editor-before-1,1,21000,1,16384,6891,436,6749,2308,4170,2660,7471,1589,7324,0.001378,6735253612666609590,0,6,11,3,1117,1046,466,1345,ok
tuned-2,2,20001,1,16384,9513,491,5328,1052,6543,4781,9852,1012,5520,0.001646,4191021934221583078,316,10,8,4,843,949,1073,964,ok
tuned-2,2,20001,1,16384,9513,491,5328,1052,6543,4781,9852,1012,5520,0.001609,4191021934221583078,316,10,8,4,843,949,1073,964,ok
tuned-2,2,20501,1,16384,8808,673,5478,1425,6243,4704,9280,1375,5729,0.001823,8439390956570754190,430,13,9,4,1078,732,652,966,ok
tuned-2,2,20501,1,16384,8808,673,5478,1425,6243,4704,9280,1375,5729,0.001795,8439390956570754190,430,13,9,4,1078,732,652,966,ok
tuned-2,2,21000,1,16384,9262,538,5620,964,6781,4966,9586,1019,5779,0.001847,7066740042546031422,1028,17,17,4,813,886,690,961,ok
tuned-2,2,21000,1,16384,9262,538,5620,964,6781,4966,9586,1019,5779,0.001815,7066740042546031422,1028,17,17,4,813,886,690,961,ok
lobby-before-2,2,20001,1,16384,3072,8100,3866,1346,1364,101,3611,8774,3999,0.001813,777726936184589491,0,100000,100000,0,599,660,349,665,ok
lobby-before-2,2,20001,1,16384,3072,8100,3866,1346,1364,101,3611,8774,3999,0.001818,777726936184589491,0,100000,100000,0,599,660,349,665,ok
lobby-before-2,2,20501,1,16384,3552,7631,3777,1424,1773,368,4027,8344,4013,0.002202,733371916877052600,0,14,23,3,674,598,407,656,ok
lobby-before-2,2,20501,1,16384,3552,7631,3777,1424,1773,368,4027,8344,4013,0.002155,733371916877052600,0,14,23,3,674,598,407,656,ok
lobby-before-2,2,21000,1,16384,2982,8260,3844,1298,1406,361,3465,8907,4012,0.002198,13340943641762820905,14,29,21,3,415,584,480,668,ok
lobby-before-2,2,21000,1,16384,2982,8260,3844,1298,1406,361,3465,8907,4012,0.002154,13340943641762820905,14,29,21,3,415,584,480,668,ok
editor-before-2,2,20001,1,16384,6965,823,7557,1039,3434,1672,7342,1338,7704,0.001867,10391068363342805221,0,22,14,3,1235,1286,905,1309,ok
editor-before-2,2,20001,1,16384,6965,823,7557,1039,3434,1672,7342,1338,7704,0.001854,10391068363342805221,0,22,14,3,1235,1286,905,1309,ok
editor-before-2,2,20501,1,16384,6919,839,7310,1316,3461,2354,7335,1493,7556,0.002228,14819803826116847058,88,20,18,4,1280,1327,753,1309,ok
editor-before-2,2,20501,1,16384,6919,839,7310,1316,3461,2354,7335,1493,7556,0.002177,14819803826116847058,88,20,18,4,1280,1327,753,1309,ok
editor-before-2,2,21000,1,16384,7178,839,7447,920,3950,2491,7486,1294,7604,0.002235,12906189945981137480,0,13,100000,3,1147,1163,819,1304,ok
editor-before-2,2,21000,1,16384,7178,839,7447,920,3950,2491,7486,1294,7604,0.002203,12906189945981137480,0,13,100000,3,1147,1163,819,1304,ok
tuned-3,3,20001,1,16384,8111,543,5707,2023,5510,3988,8634,1553,6197,0.001487,1647481009891192491,647,12,19,4,1133,937,420,1088,ok
tuned-3,3,20001,1,16384,8111,543,5707,2023,5510,3988,8634,1553,6197,0.001477,1647481009891192491,647,12,19,4,1133,937,420,1088,ok
tuned-3,3,20501,1,16384,8068,500,5700,2116,5526,3976,8628,1554,6202,0.001489,6103560747151277960,684,13,17,4,937,1067,440,1084,ok
tuned-3,3,20501,1,16384,8068,500,5700,2116,5526,3976,8628,1554,6202,0.001559,6103560747151277960,684,13,17,4,937,1067,440,1084,ok
tuned-3,3,21000,1,16384,8097,523,5740,2024,5509,4044,8632,1533,6219,0.001571,2495095458094470499,694,13,19,4,1179,864,446,1080,ok
tuned-3,3,21000,1,16384,8097,523,5740,2024,5509,4044,8632,1533,6219,0.001486,2495095458094470499,694,13,19,4,1179,864,446,1080,ok
