stage,config,method,attempts,successes,all_teams_proxy,grass_mean_pct,free_mean_pct
sweep,m1-baseline,1,32,32,24,41.6778564453125,25.34923553466797
sweep,m1-000,1,32,32,30,61.87267303466797,51.827239990234375
sweep,m1-001,1,32,32,27,51.32942199707031,35.90049743652344
sweep,m1-002,1,32,32,31,58.69312286376953,46.25053405761719
sweep,m1-003,1,32,32,32,60.47649383544922,51.39484405517578
sweep,m1-004,1,32,32,31,48.78654479980469,35.66913604736328
sweep,m1-005,1,32,32,22,48.696327209472656,32.06043243408203
sweep,m1-006,1,32,32,32,69.34852600097656,61.747169494628906
sweep,m1-007,1,32,32,30,51.68895721435547,39.6636962890625
sweep,m1-008,1,32,32,31,66.91455841064453,57.563018798828125
sweep,m1-009,1,32,32,26,46.14238739013672,31.863784790039062
sweep,m1-010,1,32,32,32,65.9566879272461,57.31239318847656
sweep,m1-011,1,32,32,30,72.98450469970703,66.44363403320312
sweep,m1-012,1,32,32,32,68.19000244140625,61.21959686279297
sweep,m1-013,1,32,32,32,56.563758850097656,44.58293914794922
sweep,m1-014,1,32,32,30,61.226654052734375,49.741172790527344
sweep,m1-015,1,32,32,31,56.21223449707031,45.74108123779297
sweep,m1-016,1,32,32,30,55.15327453613281,44.341468811035156
sweep,m1-017,1,32,32,32,57.63397216796875,46.051788330078125
sweep,m1-018,1,32,31,27,73.74720419606855,66.80790070564517
sweep,m1-019,1,32,32,27,53.173255920410156,39.870643615722656
sweep,m1-020,1,32,32,28,50.282859802246094,35.79120635986328
sweep,m1-021,1,32,32,30,55.788612365722656,43.51024627685547
sweep,m1-022,1,32,32,26,47.61848449707031,31.995582580566406
sweep,m1-023,1,32,32,31,54.35314178466797,43.27983856201172
sweep,m1-024,1,32,32,31,58.80718231201172,49.184417724609375
sweep,m1-025,1,32,32,31,64.66045379638672,56.7901611328125
sweep,m1-026,1,32,32,30,64.53723907470703,55.462646484375
sweep,m1-027,1,32,32,26,57.628822326660156,44.7784423828125
sweep,m1-028,1,32,32,25,56.83708190917969,43.70460510253906
sweep,m1-029,1,32,32,31,71.89254760742188,65.84968566894531
sweep,m1-030,1,32,32,32,63.20629119873047,54.95033264160156
sweep,m1-031,1,32,32,24,54.216957092285156,40.023231506347656
sweep,m1-032,1,32,32,29,60.172271728515625,49.53269958496094
sweep,m1-033,1,32,32,31,62.86430358886719,52.00843811035156
sweep,m1-034,1,32,31,30,65.48501291582662,55.65520255796371
sweep,m1-035,1,32,31,31,70.21838772681451,62.083188949092744
sweep,m2-baseline,2,32,28,13,43.246895926339285,23.040335518973215
sweep,m2-000,2,32,24,10,50.654093424479164,33.35240681966146
sweep,m2-001,2,32,32,25,54.31480407714844,40.50121307373047
sweep,m2-002,2,32,29,26,63.93011685075431,52.367322198275865
sweep,m2-003,2,32,30,15,67.52970377604167,60.505167643229164
sweep,m2-004,2,32,25,10,60.531494140625,45.630859375
sweep,m2-005,2,32,32,29,66.31126403808594,56.98585510253906
sweep,m2-006,2,32,32,12,75.37689208984375,69.83165740966797
sweep,m2-007,2,32,31,25,49.03072234122984,32.02494959677419
sweep,m2-008,2,32,30,9,78.3209228515625,73.4490966796875
sweep,m2-009,2,32,28,14,56.107875279017854,40.6219482421875
sweep,m2-010,2,32,23,7,60.76978600543478,47.00503141983695
sweep,m2-011,2,32,25,8,70.500244140625,62.0078125
sweep,m2-012,2,32,31,8,66.88901839717742,58.72034872731855
sweep,m2-013,2,32,30,20,62.295328776041664,51.248575846354164
sweep,m2-014,2,32,27,11,69.98358832465277,61.43211082175926
sweep,m2-015,2,32,31,8,71.01794827368951,63.572446761592744
sweep,m2-016,2,32,32,25,53.455162048339844,40.35835266113281
sweep,m2-017,2,32,32,24,58.41865539550781,49.24888610839844
sweep,m2-018,2,32,29,7,69.76907664331897,61.21068494073276
sweep,m2-019,2,32,32,23,65.07301330566406,55.326271057128906
sweep,m2-020,2,32,27,15,70.38076895254629,63.565628616898145
sweep,m2-021,2,32,28,4,67.73311070033482,59.47178431919643
sweep,m2-022,2,32,32,26,64.24293518066406,54.15458679199219
sweep,m2-023,2,32,20,8,71.220703125,63.14422607421875
sweep,m2-024,2,32,29,16,74.22548491379311,67.79258991109914
sweep,m2-025,2,32,31,8,74.03958228326613,66.8551537298387
sweep,m2-026,2,32,29,11,67.2986260775862,59.14727572737069
sweep,m2-027,2,32,27,10,49.465603298611114,31.76020869502315
sweep,m2-028,2,32,22,12,50.81065784801137,32.81527432528409
sweep,m2-029,2,32,30,21,55.812784830729164,42.0953369140625
sweep,m2-030,2,32,27,11,56.362123842592595,40.903275101273145
sweep,m2-031,2,32,32,26,66.16630554199219,58.5968017578125
sweep,m2-032,2,32,32,25,58.856773376464844,46.66423797607422
sweep,m2-033,2,32,32,22,48.949623107910156,33.380889892578125
sweep,m2-034,2,32,32,28,55.871009826660156,40.525054931640625
sweep,m2-035,2,32,32,7,69.97661590576172,61.36341094970703
sweep,m2-036,2,32,25,6,61.765869140625,48.693359375
sweep,m2-037,2,32,32,28,58.44154357910156,47.45349884033203
sweep,m2-038,2,32,26,11,56.36878380408654,40.03530649038461
sweep,m2-039,2,32,29,6,63.031847723599135,51.1651400862069
