variant,map_seed,rotation,team,start,units,prestige,buildings,alive,starvation,combat,conversions_in,conversions_out,measurement_tick
baseline-r3,17,0,0,0,0,0,0,False,36,22,15,45,60000
baseline-r3,17,0,1,1,0,0,6,False,17,2,0,3,60000
baseline-r3,17,0,2,2,93,50,9,True,9,18,92,99,60000
baseline-r3,17,0,3,3,264,100,23,True,27,20,116,76,60000
baseline-r3,17,1,0,3,66,100,14,True,19,112,107,107,60000
baseline-r3,17,1,1,0,0,0,16,False,7,0,0,21,60000
baseline-r3,17,1,2,1,0,0,0,False,9,10,0,45,60000
baseline-r3,17,1,3,2,208,100,24,True,4,6,152,86,60000
baseline-r3,17,2,0,2,109,100,20,True,24,11,74,32,60000
baseline-r3,17,2,1,3,214,50,27,True,39,11,40,51,60000
baseline-r3,17,2,2,0,0,0,1,False,17,4,0,7,60000
baseline-r3,17,2,3,1,6,0,4,True,6,6,0,24,60000
baseline-r3,17,3,0,1,24,0,17,True,5,0,0,27,60000
baseline-r3,17,3,1,2,19,0,12,True,27,16,5,34,60000
baseline-r3,17,3,2,3,194,50,21,True,33,20,81,5,60000
baseline-r3,17,3,3,0,16,0,6,True,4,0,0,20,60000
baseline-r3,29,0,0,0,151,0,23,True,18,9,60,47,60000
baseline-r3,29,0,1,1,56,0,16,True,22,12,49,56,60000
baseline-r3,29,0,2,2,10,0,12,True,61,10,10,47,60000
baseline-r3,29,0,3,3,115,50,20,True,13,7,72,41,60000
baseline-r3,29,1,0,3,125,0,14,True,12,15,48,45,60000
baseline-r3,29,1,1,0,208,50,23,True,9,23,47,53,60000
baseline-r3,29,1,2,1,71,0,16,True,9,1,67,42,60000
baseline-r3,29,1,3,2,0,0,14,False,8,0,0,22,60000
baseline-r3,29,2,0,2,11,50,14,True,32,3,10,51,60000
baseline-r3,29,2,1,3,9,0,3,True,31,11,6,34,60000
baseline-r3,29,2,2,0,245,50,26,True,26,5,105,11,60000
baseline-r3,29,2,3,1,48,0,18,True,13,2,13,38,60000
baseline-r3,29,3,0,1,55,0,9,True,9,3,3,30,60000
baseline-r3,29,3,1,2,1,0,2,True,12,1,0,14,60000
baseline-r3,29,3,2,3,53,0,7,True,21,40,77,49,60000
baseline-r3,29,3,3,0,166,50,23,True,18,5,60,47,60000
baseline-r3,43,0,0,0,66,50,17,True,6,22,39,104,60000
baseline-r3,43,0,1,1,6,0,1,False,21,30,9,42,60000
baseline-r3,43,0,2,2,357,100,34,True,21,27,225,50,60000
baseline-r3,43,0,3,3,42,0,15,True,11,13,34,111,60000
baseline-r3,43,1,0,3,264,50,25,True,9,50,240,92,60000
baseline-r3,43,1,1,0,0,0,1,False,8,11,29,120,60000
baseline-r3,43,1,2,1,120,100,16,True,8,16,73,169,60000
baseline-r3,43,1,3,2,176,100,22,True,18,61,205,166,60000
baseline-r3,43,2,0,2,5,0,1,True,31,50,83,66,60000
baseline-r3,43,2,1,3,205,100,25,True,19,2,100,54,60000
baseline-r3,43,2,2,0,18,0,3,True,11,9,1,32,60000
baseline-r3,43,2,3,1,0,0,1,False,4,6,0,32,60000
baseline-r3,43,3,0,1,264,0,28,True,23,9,116,10,60000
baseline-r3,43,3,1,2,81,0,16,True,18,10,6,35,60000
baseline-r3,43,3,2,3,0,0,1,False,22,34,19,61,60000
baseline-r3,43,3,3,0,0,0,0,False,21,7,0,35,60000
baseline-r3,61,0,0,0,38,0,18,True,6,1,10,22,60000
baseline-r3,61,0,1,1,13,0,6,True,19,15,4,6,60000
baseline-r3,61,0,2,2,95,0,19,True,28,2,54,4,60000
baseline-r3,61,0,3,3,12,0,14,True,5,4,0,36,60000
baseline-r3,61,1,0,3,2,0,14,True,5,0,0,67,60000
baseline-r3,61,1,1,0,0,0,3,False,7,3,0,63,60000
baseline-r3,61,1,2,1,291,100,29,True,11,8,173,32,60000
baseline-r3,61,1,3,2,1,0,2,True,21,45,87,98,60000
baseline-r3,61,2,0,2,28,0,15,True,29,9,8,8,60000
baseline-r3,61,2,1,3,91,100,19,True,8,21,29,0,60000
baseline-r3,61,2,2,0,4,0,1,False,25,10,3,24,60000
baseline-r3,61,2,3,1,90,0,25,True,40,4,2,10,60000
baseline-r3,61,3,0,1,112,0,23,True,15,6,62,22,60000
baseline-r3,61,3,1,2,65,0,11,True,14,2,45,35,60000
baseline-r3,61,3,2,3,7,0,2,True,11,13,0,18,60000
baseline-r3,61,3,3,0,0,0,1,False,17,7,2,34,60000
r5-numbi,101,0,0,0,38,0,17,True,0,0,0,0,60000
r5-numbi,101,0,1,1,32,0,18,True,1,1,0,0,60000
r5-numbi,101,0,2,2,34,0,15,True,0,0,0,0,60000
r5-numbi,101,0,3,3,25,0,17,True,2,3,0,0,60000
r5-numbi,211,0,0,0,32,0,22,True,0,0,0,0,60000
r5-numbi,211,0,1,1,29,0,17,True,0,1,0,0,60000
r5-numbi,211,0,2,2,37,0,18,True,0,3,0,0,60000
r5-numbi,211,0,3,3,29,0,21,True,0,0,0,0,60000
