Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,2832.250,2397.009,55,ok
fingerprint,2,3077.593,2904.021,55,ok
fingerprint,3,2649.263,2673.991,55,ok
old-town,1,2352.357,2545.610,58,ok
old-town,2,2165.893,2260.610,58,ok
old-town,3,1975.082,2296.785,58,ok
symmetric-arena,1,944.191,828.766,11,ok
symmetric-arena,2,815.267,677.318,11,ok
symmetric-arena,3,622.704,825.438,11,ok
swamp,1,182.020,344.689,65,ok
swamp,2,469.124,280.398,65,ok
swamp,3,430.720,312.685,65,ok
tidal-flats,1,1724.319,2015.944,63,ok
tidal-flats,2,1725.501,2012.551,63,ok
tidal-flats,3,2091.132,1416.916,64,ok
river,1,376.256,413.708,65,ok
river,2,467.758,535.190,65,ok
river,3,679.436,426.564,65,ok
isles,1,1173.022,937.858,14,ok
isles,2,1208.206,1309.902,14,ok
isles,3,1225.031,1276.685,14,ok
ring-world,1,623.376,456.105,71,ok
ring-world,2,798.864,584.223,71,ok
ring-world,3,639.794,631.654,72,ok
amphitheatre,1,1059.215,1029.392,78,ok
amphitheatre,2,1025.052,1393.886,78,ok
amphitheatre,3,1324.358,1509.086,78,ok
shattered-coast,1,466.078,487.934,39,ok
shattered-coast,2,425.224,477.502,39,ok
shattered-coast,3,323.140,341.105,39,ok
crater-lakes,1,385.772,477.303,65,ok
crater-lakes,2,412.738,478.256,65,ok
crater-lakes,3,372.335,342.525,65,ok
fjord-continent,1,361.837,434.224,79,ok
fjord-continent,2,315.030,300.522,79,ok
fjord-continent,3,186.943,297.048,79,ok
spider-web,1,292.063,441.674,59,ok
spider-web,2,275.383,323.108,59,ok
spider-web,3,291.798,360.458,59,ok
concrete-islands,1,837.268,1066.261,9,ok
concrete-islands,2,631.771,569.873,9,ok
concrete-islands,3,792.561,813.732,9,ok
watershed,1,371.823,455.187,76,ok
watershed,2,406.336,542.101,76,ok
watershed,3,669.869,546.485,76,ok
maze,1,61.745,64.912,33,ok
maze,2,128.594,70.785,33,ok
maze,3,71.971,92.117,33,ok
islands,1,75.511,210.746,64,ok
islands,2,149.313,95.170,64,ok
islands,3,183.525,102.409,64,ok
stone-highlands,1,190.525,164.548,256,ok
stone-highlands,2,348.909,461.604,244,ok
stone-highlands,3,213.174,173.331,254,ok
switchbacks,1,1083.845,829.951,89,ok
switchbacks,2,968.629,1920.432,89,ok
switchbacks,3,1152.843,1052.953,89,ok
city-states,1,511.504,326.132,62,ok
city-states,2,532.421,417.788,62,ok
city-states,3,612.950,856.729,62,ok
canals,1,232.046,194.226,86,ok
canals,2,406.004,394.366,86,ok
canals,3,176.350,237.315,88,ok
emoji,1,177.413,210.841,83,ok
emoji,2,218.571,237.428,83,ok
emoji,3,314.911,238.393,83,ok
rugged-archipelago,1,83.426,84.138,27,ok
rugged-archipelago,2,114.495,97.802,27,ok
rugged-archipelago,3,274.542,133.733,27,ok
contested-commons,1,394.703,318.998,40,ok
contested-commons,2,235.530,251.247,40,ok
contested-commons,3,128.660,168.620,40,ok
rain-shadow,1,116.419,99.877,57,ok
rain-shadow,2,91.554,135.128,57,ok
rain-shadow,3,173.160,135.487,57,ok
everglades,1,229.303,192.658,60,ok
everglades,2,179.230,261.541,60,ok
everglades,3,113.527,151.192,60,ok
polder,1,141.338,193.510,62,ok
polder,2,132.873,176.393,62,ok
polder,3,148.563,184.671,62,ok
carousel,1,735.400,640.954,81,ok
carousel,2,525.261,534.713,81,ok
carousel,3,472.672,398.102,81,ok
old-growth,1,144.235,154.988,61,ok
old-growth,2,141.502,113.351,61,ok
old-growth,3,130.333,250.002,61,ok
anthill,1,124.577,326.015,60,ok
anthill,2,100.949,99.389,60,ok
anthill,3,93.436,101.515,60,ok
coral,1,89.914,107.816,63,ok
coral,2,130.130,93.400,63,ok
coral,3,68.038,78.404,63,ok
uniform,1,1.761,1.315,4,ok
uniform,2,1.061,2.969,4,ok
uniform,3,1.655,2.687,4,ok
# telemetry: 96 cases, 96 generated, 0 semantic failures, off 55604.755 ms, on 56895.075 ms
